Gene Pearson Spearman Source
CCNE1 0.967092936590198 0.969508752117448 Isoform_MR
CD27 0.944914043708981 0.46583850931677 Isoform_MR
PIK3R1 0.924109104058282 0.926595143986448 Isoform_MR
TREM1 0.991364319634659 0.879164313946923 Isoform_MR
TNFRSF8 0.886650520328857 0.865612648221344 Isoform_MR
E2F3 0.900065734567259 0.863354037267081 Isoform_MR
CD28 0.990944631858198 0.905138339920948 Isoform_MR
IL18 0.916963087924071 0.869000564652739 Isoform_MR
MS4A4A 0.942105254984355 0.960474308300395 Isoform_MR
STAT4 0.978808883469747 0.924336533032185 Isoform_MR
TNFSF8 0.996023633919253 0.936758893280632 Isoform_MR
GIMAP6 0.960893729895253 0.934500282326369 Isoform_MR
MAP3K8 0.893344338719086 0.880293619424054 Isoform_MR
DAB2 0.908181296663127 0.905138339920948 Isoform_MR
CD40 0.968149799745022 0.849802371541502 Isoform_MR
CD68 0.950519450737474 0.943534726143422 Isoform_MR
CD70 0.888018861305545 0.602484472049689 Isoform_MR
VTCN1 0.997289340672869 0.94918125352908 Isoform_MR
CD6 0.952565004801265 0.815923207227555 Isoform_MR
CDC20 0.949813808169537 0.683794466403162 Isoform_MR
ADGRE1 0.935804131804268 0.701863354037267 Isoform_MR
SAMSN1 0.969673120297263 0.96386222473179 Isoform_MR
CD300A 0.862139786058123 0.876905702992659 Isoform_MR
POLD1 0.799753195016823 0.716544325239977 Isoform_MR
TNFAIP3 0.958023892569403 0.967250141163185 Isoform_MR
IFIT1 0.92988461277633 0.948051948051948 Isoform_MR
TNFRSF11A 0.831987734278911 0.796725014116318 Isoform_MR
TWIST2 0.710775373262312 0.598700955814291 Isoform_MR
RPS6KB1 0.811756698465235 0.607001693958216 Isoform_MR
GPSM3 0.994778317629844 0.958215697346132 Isoform_MR
CEACAM3 0.931938060032328 0.721061547148504 Isoform_MR
CHUK 0.857835552208332 0.806888763410503 Isoform_MR
CASP9 0.977119046314524 0.969508752117448 Isoform_MR
EOMES 0.965017136302146 0.894974590626765 Isoform_MR
LILRA1 0.888084954954349 0.744776962168266 Isoform_MR
LILRB2 0.966245134293597 0.836250705815923 Isoform_MR
LILRB4 0.968212467304862 0.967250141163185 Isoform_MR
IL18R1 0.960058391761168 0.911914172783738 Isoform_MR
PIK3CG 0.991648417855849 0.957086391869 Isoform_MR
DEPTOR 0.945612363479666 0.936758893280632 Isoform_MR
PNOC 0.915857191110389 0.89158667419537 Isoform_MR
PTCD2 0.418475609721563 0.407794424620677 Isoform_MR
RICTOR 0.606669457056524 0.482778091473744 Isoform_MR
IFI27 0.946699550290177 0.968379446640316 Isoform_MR
GMIP 0.956772917563437 0.840767927724449 Isoform_MR
LAIR1 0.98382027225866 0.951439864483343 Isoform_MR
HELLS 0.919597752562015 0.847543760587239 Isoform_MR
MICA 0.884470364127905 0.902879728966685 Isoform_MR
NFIL3 0.978817397646343 0.986448334274421 Isoform_MR
CDK2 0.919684633570329 0.948051948051948 Isoform_MR
WNT2B 0.939034277432534 0.896103896103896 Isoform_MR
TNFSF4 0.949918170939148 0.763975155279503 Isoform_MR
PGPEP1 0.706964664773622 0.733483907396951 Isoform_MR
DEFB134 0.0970445988933416 0.133154835279213 Isoform_MR
ITGA6 0.856442480361574 0.808018068887634 Isoform_MR
C5 0.856340920702755 0.809147374364766 Isoform_MR
MAPK10 0.960153894958491 0.962732919254658 Isoform_MR
ROR2 0.935805277419314 0.867871259175607 Isoform_MR
TLR2 0.95611098263879 0.922077922077922 Isoform_MR
IL12RB2 0.743458273472904 0.625070581592321 Isoform_MR
AQP9 0.979202181692798 0.919819311123659 Isoform_MR
CST2 0.713179351336989 0.798756870017314 Isoform_MR
SFXN1 0.800145786200356 0.648785996612083 Isoform_MR
RBL2 0.842957474966346 0.561829474872953 Isoform_MR
CTAG1B 0.9572307026935 0.295356272710594 Isoform_MR
TGFB3 0.893136414552803 0.94240542066629 Isoform_MR
MRE11 0.684278904633531 0.273856578204404 Isoform_MR
BRD4 0.791876643746569 0.727837380011293 Isoform_MR
PTPN11 0.855674785178967 0.856578204404291 Isoform_MR
BLK 0.998954192827116 0.795595708639187 Isoform_MR
BNIP3L 0.327558736681518 0.479390175042349 Isoform_MR
HDAC11 0.982824598181536 0.909655561829475 Isoform_MR
CTSW 0.969030359688179 0.939017504234895 Isoform_MR
CD5 0.921428125318339 0.507622811970638 Isoform_MR
IRF5 0.894981233607707 0.84867306606437 Isoform_MR
PIK3CD 0.975808309236123 0.893845285149633 Isoform_MR
P4HA2 0.886923632020997 0.836250705815923 Isoform_MR
ENO1 0.949659073299774 0.977413890457369 Isoform_MR
GPC4 0.992295052174684 0.72557876905703 Isoform_MR
CXCL1 0.98864314774824 0.946922642574816 Isoform_MR
ID4 0.89213246489269 0.767363071710898 Isoform_MR
IFIT2 0.773752339036307 0.692828910220215 Isoform_MR
CXCR2 0.993064942522022 0.873517786561265 Isoform_MR
IL10RA 0.987164942833067 0.945793337097685 Isoform_MR
TNFRSF9 0.965567268032697 0.898362507058159 Isoform_MR
CXCL10 0.922940153428213 0.978819581534118 Isoform_MR
AREG 0.977603214018989 0.94918125352908 Isoform_MR
ATF3 0.954486801043626 0.952569169960474 Isoform_MR
AXL 0.936733458829374 0.969508752117448 Isoform_MR
C5AR1 0.970120423808347 0.845285149632976 Isoform_MR
CCND2 0.889786801928609 0.968379446640316 Isoform_MR
CD1C 0.960239680519242 0.888198757763975 Isoform_MR
CD2 0.979640502158695 0.92772444946358 Isoform_MR
CD8A 0.96313825690766 0.945793337097685 Isoform_MR
CD19 0.999583864191281 0.904009034443817 Isoform_MR
CD38 0.994558324717806 0.940146809712027 Isoform_MR
CD47 0.915506274516444 0.828345567476002 Isoform_MR
CD48 0.997572493437217 0.962732919254658 Isoform_MR
CD69 0.966019264687236 0.892715979672501 Isoform_MR
CD79A 0.997822979065606 0.972896668548842 Isoform_MR
CDC25C 0.67888177216113 0.693958215697346 Isoform_MR
CDH2 0.969898317501511 0.966120835686053 Isoform_MR
CDH5 0.975236535078245 0.917560700169396 Isoform_MR
CDH11 0.977077943457136 0.979672501411632 Isoform_MR
COL11A1 0.993520359199061 0.977413890457369 Isoform_MR
CPA3 0.956928945858072 0.977413890457369 Isoform_MR
DPP4 0.951868208871187 0.950310559006211 Isoform_MR
EDN1 0.923826547466068 0.888198757763975 Isoform_MR
EGR1 0.964559360328576 0.950310559006211 Isoform_MR
FCN1 0.991811128001223 0.967250141163185 Isoform_MR
FGF9 0.801513257665159 0.743647656691135 Isoform_MR
FLT1 0.966020943627659 0.878035008469791 Isoform_MR
FPR1 0.997539644517469 0.967250141163185 Isoform_MR
FPR3 0.983057846373463 0.939017504234895 Isoform_MR
FUT4 0.813949669499408 0.800112930547713 Isoform_MR
FYN 0.984664728282608 0.977413890457369 Isoform_MR
IFI6 0.973417343102418 0.957086391869 Isoform_MR
GAS1 0.959900280396373 0.976284584980237 Isoform_MR
GBP1 0.916099743292017 0.885940146809712 Isoform_MR
GLUL 0.988662756631807 0.975155279503106 Isoform_MR
GOT1 0.610796018894391 0.630717108977979 Isoform_MR
GOT2 0.868074160686647 0.896103896103896 Isoform_MR
CXCL2 0.991837284935995 0.945793337097685 Isoform_MR
CXCL3 0.995659248927407 0.869000564652739 Isoform_MR
GZMK 0.967053929281911 0.981931112365895 Isoform_MR
H2AFX 0.836346734241124 0.677018633540373 Isoform_MR
HDC 0.887315714831958 0.859966120835686 Isoform_MR
HLA-A 0.723337621608839 0.50875211744777 Isoform_MR
HLA-C 0.789319784056055 0.900621118012422 Isoform_MR
HLA-DMB 0.974079109782221 0.975155279503106 Isoform_MR
HLA-DOA 0.934060615284063 0.719932241671372 Isoform_MR
HLA-DOB 0.978912308826787 0.504234895539243 Isoform_MR
HLA-DPB1 0.972719387008471 0.909655561829475 Isoform_MR
HLA-DQA1 0.960604645724974 0.796725014116318 Isoform_MR
HLA-DQB1 0.936561318982177 0.721061547148504 Isoform_MR
HLA-DRB1 0.896589978478343 0.743647656691135 Isoform_MR
HLA-DRB5 0.464705069467311 0.261434217955957 Isoform_MR
HMGB1 0.52607046505859 0.533596837944664 Isoform_MR
ICAM3 0.990988220322129 0.941276115189159 Isoform_MR
IRF8 0.997090465339468 0.905138339920948 Isoform_MR
IDO1 0.99706784912288 0.952569169960474 Isoform_MR
IHH 0.233526261850154 0.30921444295787 Isoform_MR
IL7R 0.998382401875312 0.972896668548842 Isoform_MR
IL17A 0.288036337439244 0.0983566633558562 Isoform_MR
INHBA 0.976587345326251 0.958215697346132 Isoform_MR
IRF1 0.872346402874328 0.788819875776397 Isoform_MR
IRF2 0.864585659845739 0.763975155279503 Isoform_MR
ITGA2 0.904151474717928 0.766233766233766 Isoform_MR
ITGAE 0.430110892018741 0.491812535290796 Isoform_MR
ITGAL 0.993706857851752 0.953698475437606 Isoform_MR
ITGB8 0.936424569018219 0.92094861660079 Isoform_MR
JAG2 0.594419314170397 0.525691699604743 Isoform_MR
JAK1 0.941153526540653 0.890457368718238 Isoform_MR
KDR 0.980103769632211 0.959345002823264 Isoform_MR
KLRB1 0.971747640921419 0.796725014116318 Isoform_MR
KLRD1 0.980318663107888 0.964991530208921 Isoform_MR
LAG3 0.877698655163438 0.831733483907397 Isoform_MR
LGALS9 0.900222319861755 0.940146809712027 Isoform_MR
LIF 0.994011865709049 0.904009034443817 Isoform_MR
LOXL2 0.815419562560806 0.843026538678713 Isoform_MR
LTB 0.998959584147819 0.89158667419537 Isoform_MR
EPCAM 0.96608100328605 0.970638057594579 Isoform_MR
MAGEB2 0.595308053347951 0.414425005613931 Isoform_MR
