WSU_F_Post,WSU_F_Pre,WSU_E_Post,WSU_E_Pre,USF39_Post,USF39_Pre,USF37_Post,USF37_Pre,USF36_Post,USF36_Pre,USF35_Post,USF35_Pre,USF34_Post,USF34_Pre,USF33_Post,USF33_Pre,USF31_Post,USF31_Pre,WSU14_Post,WSU14_Pre,WSU12_Post,WSU12_Pre,WSU11_Post,WSU11_Pre,WSU9_Post,WSU9_Pre,WSU6_Post,WSU6_Pre,WSU2_Post,WSU2_Pre,USF18_Post,USF18_Pre,USF17_Post,USF17_Pre,USF16_Post,USF16_Pre,USF15_Post,USF15_Pre,USF14_Post,USF14_Pre,USF10_Post,USF10_Pre,USF7_Post,USF7_Pre,USF3_Post,USF3_Pre,USF1_Post,USF1_Pre
GUSB,3501.36527944601,3728.04520356174,3379.80055917416,3092.61609595401,2282.56633091284,2124.55340282382,3669.48618621456,3475.36831239675,2247.52993038931,2054.29914093963,2885.33213843374,4067.03856717451,2556.44163830506,1985.97895687655,2824.09521284754,2520.40086275711,1847.52679456105,1861.94943383896,2135.41518081783,1939.37824935871,2386.56697303732,2713.64085165562,1693.3755340148,1597.07051501706,2183.76486580068,2790.12038845342,1958.38267535133,3562.18233858642,3344.29940414268,2858.41001538198,2850.53520616212,2456.31731553713,2265.62944689078,1555.64025695906,2630.75251794505,2324.82525595956,1398.75106191957,1704.19809528553,2284.19475508584,3159.64444006446,2685.68869074038,2797.18864750265,2520.02695969353,2313.09596977025,1708.66648021773,1787.33879024698,3597.90898640744,3559.89102804521
HK1,12204.1074899359,9716.90668970082,6359.91281101549,4873.90487044346,7268.06835144364,5701.54539452217,6724.74952268477,8986.45567859527,8404.83366338096,7196.55382314687,5109.89367451626,6478.41746232195,6319.19746697741,5839.82427336426,7297.56320938395,8601.92625201445,3877.80739878501,4934.87834053964,5746.82625561638,5869.81279124766,4930.53805788412,5334.01819499386,6000.89142618063,6427.7158999452,6066.98377973291,7679.33085826415,4040.44438530851,8210.78990288684,7432.11091703715,7061.17916594823,3777.68033558458,5835.13048388248,6195.71951631686,5353.23264894737,3023.98689873,4151.2552685328,4013.80739507354,3073.88742789202,4321.00773087564,4791.15358905933,4250.09623256636,3942.55349052095,4346.86598778082,3958.51374431898,7303.84211115465,7410.31394952294,3943.03570268283,2784.52309301052
HK2,4400.77531866695,2608.33493111806,1423.25269778289,1687.91894938516,4209.58661544425,1161.34124315047,3139.80153514471,3732.47137856964,3571.50363457035,1990.16038948043,1146.25481540507,2246.00522291245,1863.1329488235,2137.83801050347,1188.11381847142,803.662704041932,2575.68650493673,2829.63710310312,1946.18493799979,1476.59846949676,1907.06741021028,3046.60793836766,1448.40140649232,3863.47857531417,3875.82998328819,2679.2818639489,1760.65377289228,8082.5594162087,1186.75971204613,1097.19941962118,2470.15077173192,2164.42310539482,1512.12362452684,1856.85491455653,1964.72085454914,2558.22507341451,3016.43707266133,1832.52626511125,1896.23037874492,5718.52196667901,2169.11593436279,3150.88212727834,1016.91632327652,1135.62359700069,1171.27673035373,1163.78463237905,1210.16535277681,1704.44916245344
ICAM1,3717.98375368092,2199.87084794521,1910.12514014298,1447.23228911635,6619.83522820678,2738.75356160287,1552.06849128945,300.593137067809,1916.33983564171,1019.71319348904,2409.69547534039,3195.94236342508,2620.83563423214,1287.4273101927,2228.1783884295,2546.45151766933,805.258973827225,1390.70855299685,11649.5269146388,3844.49802065988,1745.29096196164,1717.19389436996,4573.28357958411,3787.72409344527,2080.99155775161,4751.00440839151,2576.77784838061,10206.9448018056,4108.13016363971,2886.3406442196,1677.85091800693,1067.06609839758,1927.21638420087,1119.06964563109,594.930243991986,475.972553499832,2354.56428756461,1493.73989677135,1619.42433495112,1375.32176196262,1291.43189094398,1463.68897481643,1681.22142439917,1215.51671437762,1424.16602440738,2068.44176596717,2272.20765135818,614.853169536276
IL2RG,901.943588627193,581.575051755631,961.290008287725,644.251793219537,394.832902335182,422.167354793542,1324.87208235176,74.1889444677996,275.336183281855,223.091309423308,1086.18476064587,882.633901812341,2356.82025093111,217.664643531924,1620.35810684456,583.534670033688,598.947055887449,578.639965313109,1076.36727948703,684.588908980214,445.978316793539,581.66977555838,980.546308836661,800.091856451042,865.848327289164,3917.66290933896,210.333135285118,262.519106585167,2894.27891726659,595.502086537913,536.026742697937,1057.42808202495,1387.39131743267,269.758696519249,148.007036310201,234.419030631609,691.266829151555,414.927749103154,401.041827228811,182.776966186754,2735.87703910882,2013.79521676543,803.905448460018,456.532099296759,515.761060240989,626.301092484083,552.498992149022,114.264748320901
ITGB2,6473.21873298449,3776.02352444236,8248.52498277512,8620.10974212743,3178.30664665833,3997.63527661899,10613.5066617113,1014.34194763733,2392.27809531463,1900.9238657111,3217.19457210342,4411.24655938455,9674.12465477826,2215.45486013501,4251.02214072993,3199.0204232204,3121.80628771849,3893.76476658613,6149.66216236123,3785.85215144275,2614.6571906131,4104.41246691475,3462.12772265191,3480.55523545628,1708.18642071089,12460.4395572618,1249.39457888463,12391.9115196914,15011.7201876323,4342.94928775128,3660.27773236539,3292.07102099175,5607.84183943861,2499.31908930555,1128.91641420918,1556.33852075855,4017.86174597766,1265.31575448158,2086.9432041934,2166.35650086923,9079.19463045642,7994.97772156798,4808.99127551831,3417.33298494428,3706.82465231265,4582.80258462403,3997.84123273515,2989.92758106357
ITGB3,4574.3234529955,1227.33731658128,2152.42909982917,1532.30257421136,813.237918242613,673.638883822186,435.900086915336,202.100917688144,320.176647416328,278.864136779135,425.414158294667,1819.11039458491,364.899310253451,735.672748681543,1229.03195248265,3102.63300004519,874.505534519815,864.67222089402,1055.84060907965,810.590429971484,1028.22778594066,2114.79095614404,1088.41290079616,1230.23203089846,5657.23398947194,2636.86218173112,1010.70191974085,1845.71125706802,900.04097375217,1210.50291396247,2405.74705796596,213.413219679515,723.856339530088,869.328378888888,545.594565221919,1963.00457824556,4564.18553030711,456.848284579555,755.222788775994,1078.68373487265,414.971953582948,498.933568279327,1996.5256571784,1069.04599918658,336.076561834451,445.919052689691,505.099614806479,384.963378271606
JAG1,8279.63945964513,3794.17748369448,11689.4676626178,5562.76669121282,25465.7400292204,5373.87037184848,5126.44920399521,3877.01190830863,9610.01947134611,12270.0220182819,3961.66934911908,6488.03221070771,9459.47800168799,4670.50956043695,4849.9148294397,3751.29430735942,3433.05886980064,4732.135170875,8558.33864297731,3916.49888979775,7160.42964185182,20710.2255531088,6023.63438231667,6851.62967862257,6332.98528291872,4953.52418156027,5770.37534068723,2572.68724453464,5082.6728567911,5245.688291503,2703.61423413352,7411.63459054729,5005.65061912332,4112.15200277047,12692.3288882876,14899.8774295804,3346.86667134668,5349.57363946809,8048.081233926,11404.0841525702,3389.54967395629,3299.13237305666,6327.74677844727,3767.34092773847,6122.58290866722,5443.50876435362,2875.06848193365,3091.94967777866
JAK3,3339.21811744562,2034.54014761334,1565.91764600933,1978.40284970959,1245.39333373386,970.832509037857,1135.98204468845,310.186535059334,1428.60145382814,1042.02232443137,2766.17678391139,2147.93478937774,3198.23513104495,1294.17660146501,1504.29939946726,1154.04401261127,878.788826933789,1183.58174723136,3627.44753605432,2799.32411381986,2104.55127271199,1542.93839198749,1895.46294425218,1683.20232316938,2213.32058837688,4248.8101060068,2229.37368111193,1364.08966537139,3150.1434081326,1897.17478897034,1239.10061797633,2085.94211493203,1635.83353566122,521.40638514498,275.69938136214,787.851785557538,1398.75106191957,1635.75640471182,1783.98225862381,1766.34461585396,3931.82865754699,3162.17021705842,1694.45938837082,1014.83281239509,1335.98752055972,1549.27112351326,1697.49020107984,954.926825253242
KIT,676.457691470395,98.550064511545,692.944034242742,340.281140380046,383.046845549057,525.804106150802,756.881060007538,1303.42300711531,318.603297797575,197.993537113186,1334.3430196511,790.33231730909,989.521070746123,980.334557302698,621.211670897706,66.4291700261564,300.544351047218,271.785438253127,1116.77916185156,188.131303231204,1070.49370485246,269.973313550303,343.743537027564,285.376472793822,1557.72092395933,540.508854065278,2527.93644617957,120.152975706288,400.352673943273,191.298457887843,194.55288533467,172.107435225415,765.774573881407,35.2688048452729,121.888147549578,91.7291858993252,111.494649863154,2435.66866329212,555.79166273558,163.300732084887,354.990756752375,152.765481690352,415.190688201656,287.234779140878,602.275818733026,451.412921922008,416.22578228921,161.875060121276
