BB24_06_S10-016752C1,BB24_04_S10-016783A2,BB24_07_S10-017623A2,BB24_01_S10-018931A6,BB24_25_S11-011709,BB24_09_S11-012085C1,BB24_08_S11-003355A1,BB24_26_S12-011538,BB24_10_S12-003590C5,BB24_11_S12-008138A2,BB24_12_S13-003620D2,BB24_14_S13-008160A2,BB24_20_S13-019142C2,BB24_21_S13-021353A4,BB24_18_S13-009885J1,BB24_22_S14-012409D2,BB24_02_S14-002474B2,BB24_15_S16-023867D1,BB24_16_S16-007066C1,BB24_19_S17-018143A2,BB24_03_S21-024801A2,BB24_24_S21-028943A10,BB24_17_S21-032280A2,BB24_23_S22-009274B7
ARG2,14.53,261.38,29.37,55.2,57.44,156.1,44.68,33.42,61.38,64.27,75.19,43.6,46.38,439.19,25.44,75.7,258.29,261.83,50.12,25.5,59.35,24.09,40.74,29.12
ARID1A,1054.32,661.37,735.25,686.22,548.98,570.57,672.7,775.23,590.24,628.04,470.76,766.91,594.77,677.88,559.67,675.41,671.95,512.5,623.52,718.21,755,617.58,520.13,720.87
ARNT2,114.99,146.97,122.08,106.33,501.56,366.02,149.77,50.79,70.83,229.55,55.58,79.27,89.27,126.24,47.49,126.82,190.32,215.15,116.28,93.49,134.27,140.16,124.94,112.54
ATF3,56.89,801.66,654.47,1481.09,312.56,2007.75,180.38,1804.42,1089.81,431.55,1883.04,521.18,485.79,1021.59,162.81,934.95,823.43,475.97,2598.35,170.7,3603.76,1192.83,1075.58,873.55
ATM,2204.26,739.87,663.65,481.69,563.67,366.02,476.6,558.7,714.9,508.67,251.73,610.35,562.31,559.06,473.17,501.39,522.41,344.04,459.12,480.22,484.52,607.36,786.31,624.86
AXIN1,151.31,82.67,96.38,83.09,110.2,333.73,113.36,94.9,84.05,135.89,137.31,178.35,104.35,93.35,184.86,141.57,108.75,161.36,98.24,107.66,95.35,70.81,95.06,90.5
AXL,104.1,252.19,493.84,301.56,248.44,258.37,545.28,433.06,508.08,284.64,869.6,104.04,453.33,389.33,281.53,549.57,264.12,139.04,421.03,240.82,176.1,359.89,665.45,306.92
B2M,29617.75,13578.16,14123.03,7030.67,9378.02,13456.74,14488.37,9277.4,28021.64,13838.9,13972.42,24955.13,18185.25,7457.72,25210.55,11338.35,8502.31,10924.96,7803.06,7131.78,11069.12,10546.37,26873.15,11393.91
BAD,119.84,197.91,205.61,192.33,136.91,484.44,196.1,173.76,144.49,211.18,179.8,181.32,173.91,186.71,478.26,204.49,172.84,221.24,270.66,144.49,192.64,173.74,138.52,160.54
BAMBI,67.79,571.18,162.47,53.46,822.13,75.36,48.82,177.77,36.83,427.87,196.15,116.92,68.4,499.66,37.31,45.22,374.82,47.7,122.3,59.5,30.16,104.39,69.26,103.09
BATF3,90.79,37.58,51.4,22.66,20.04,86.12,91.02,49.45,126.55,64.27,245.19,31.71,112.46,18.03,81.41,101.26,34.96,50.74,32.08,27.62,34.05,24.82,63.83,25.97
BAX,587.08,246.34,273.54,284.13,291.18,382.17,386.41,188.46,397.58,453.58,222.3,248.7,360.57,203.68,454.52,273.31,198.09,181.66,258.63,335.73,228.64,256.23,427.79,199.11
BBC3,72.63,55.11,67.93,72.05,40.74,91.51,33.92,62.82,66.11,60.6,49.04,53.51,53.33,74.26,133.98,49.16,79.62,43.64,96.24,76.5,40.86,49.64,52.96,74.76
BBS1,107.73,227.97,229.48,249.85,295.19,209.93,126.6,290.04,178.49,200.16,101.34,232.85,162.32,250.36,171.29,234.97,271.89,256.76,278.68,235.86,179.99,272.29,168.4,265.21
BCAT1,90.79,362.42,154.21,86.58,2042.97,193.78,548.59,81.53,230.43,209.35,127.5,203.12,455.65,122,127.2,182.86,167.02,71.04,170.42,699.08,137.18,244.55,878.66,125.92
BCL2,838.85,349.06,193.68,377.1,187,312.2,134.87,267.32,350.36,106.51,382.49,130.79,263.18,372.36,174.68,386.37,462.21,201.96,509.24,92.79,159.56,538.01,161.61,389.56
BCL2L1,259.04,417.53,418.57,400.34,1045.19,1162.66,384.76,245.94,542.07,455.42,800.95,859.05,592.46,311.89,1414.44,487.63,238.87,406.96,573.4,801.79,590.57,412.45,510.63,429.69
BCL6B,39.95,52.61,84.45,104.59,26.71,134.57,71.99,92.23,81.22,45.91,238.65,27.74,92.75,58.35,55.97,106.18,50.49,28.42,86.21,20.54,70.05,54.02,81.48,115.69
BID,145.26,64.3,76.19,86.58,82.15,166.86,108.39,57.47,113.33,89.98,101.34,134.75,98.55,37.13,145.85,119.94,62.15,53.79,58.14,94.2,115.78,72.27,134.45,66.11
BIRC3,415.19,38.41,30.29,47.65,18.7,107.65,45.51,32.08,83.11,62.44,114.42,51.52,80,56.22,234.04,109.13,44.67,45.67,76.19,10.62,75.89,56.21,52.96,79.49
BIRC5,99.26,61.79,27.54,29.05,120.21,145.33,239.13,16.04,51,49.58,39.23,65.4,83.48,35.01,595.28,35.39,23.3,81.19,22.05,74.37,232.53,70.81,63.83,15.74
BLK,742.02,18.37,16.52,5.5,14.69,48.44,9.93,14.7,16.05,12.85,35.96,12.88,45.22,13.79,117.02,24.58,11.65,44.65,20.05,8.5,7,10.22,21.73,30.69
BLM,106.52,30.06,30.29,18.01,40.07,172.25,49.65,20.05,33.05,38.56,49.04,41.62,31.3,18.03,88.19,28.51,27.19,26.39,34.08,20.54,71.02,20.44,36.67,26.76
BMP2,124.68,60.12,134.02,77.86,72.13,96.89,57.09,97.57,135.99,53.25,467.49,37.65,108.98,79.56,32.22,158.28,71.86,24.36,100.24,72.95,90.48,108.04,207.78,121.2
BNIP3,52.05,155.32,71.6,61.01,96.84,188.39,88.54,100.25,54.77,165.27,196.15,63.41,92.75,154.88,227.26,83.57,200.03,80.17,116.28,78.62,264.64,55.48,46.17,55.09
BNIP3L,290.51,1022.95,805.01,618.81,687.89,177.63,453.43,518.6,462.75,609.68,611.33,682.68,653.9,724.55,264.57,406.03,609.8,418.12,471.15,455.43,814.35,647.51,893.6,565.84
BRCA1,60.52,42.59,48.65,55.78,55.43,107.65,67.85,60.15,49.11,49.58,62.11,51.52,54.49,42.43,96.67,54.07,83.51,45.67,44.11,48.87,85.62,48.18,50.25,41.71
BRCA2,60.52,34.24,35.8,19.17,67.45,86.12,75.3,22.72,76.49,45.91,8,52.51,61.45,23.34,105.15,32.44,23.3,27.4,18.04,31.16,57.4,45.26,43.46,24.4
BRD3,341.35,360.75,471.81,472.39,468.17,1076.54,393.86,562.71,383.42,380.13,317.11,292.3,389.56,458.28,452.82,395.22,442.79,280.1,633.55,323.69,273.4,467.2,389.76,500.52
BRD4,1352.09,1101.45,1100.58,919.22,1029.83,1345.67,1632.53,1399.43,1064.32,1289.13,1444.97,899.68,1166.36,1217.85,1295.72,1612.32,1341.96,1301.05,1239.03,677.13,1484.7,1041.72,1147.55,1266.25
BRIP1,66.58,45.93,40.39,23.24,117.54,139.95,101.77,29.41,34.94,34.89,49.04,29.73,52.17,38.19,76.32,27.53,48.55,33.49,24.06,20.54,87.56,47.45,44.82,35.41
BTLA,716.6,19.21,15.6,6.97,8.68,37.68,11.58,5.25,28.33,12.85,8,12.88,34.78,13.79,88.19,15.73,15.54,25.37,18.04,9.92,14.59,14.6,31.24,22.04
C1QA,2010.59,1077.23,1527.41,277.74,460.15,2013.13,1346.23,552.02,2178.68,2154.06,729.02,1774.58,1736.79,312.95,1378.82,913.32,386.47,802.75,334.82,562.38,783.22,731.46,2323.63,827.9
C1QB,1041,896.02,1215.32,174.31,366.65,1453.33,1366.92,261.98,1863.26,1996.14,415.18,1482.29,1445.78,227.02,1387.3,812.06,279.66,652.55,236.58,445.51,539.98,503.7,1853.74,492.65
C2,114.99,77.66,98.22,23.24,42.07,183.01,133.22,37.43,171.88,168.95,104.61,178.35,164.64,35.01,847.98,82.58,44.67,65.97,64.16,114.74,136.21,40.88,214.57,73.19
C5,119.84,115.24,85.37,93.55,51.42,75.36,82.74,120.29,94.44,99.16,58.85,33.69,89.27,90.17,93.28,134.69,81.57,65.97,114.28,29.75,60.32,95.63,58.4,103.09
C5AR1,26.63,39.25,76.19,58.69,26.71,172.25,97.64,61.48,261.59,134.06,467.49,69.36,222.61,65.77,113.63,190.73,62.15,49.73,136.33,19.83,69.08,56.94,198.28,96.8
C7,1093.05,6561.94,7128.52,3400.87,4809.89,672.84,862.19,8303.01,2614.99,6504.43,4298.95,1823.13,4346.6,5993.75,535.93,4042.6,3870.51,2452.91,1471.6,1543.37,1291.09,2049.85,2360.3,3381.66
CASP1,406.72,163.67,135.85,124.34,122.22,209.93,187,73.51,279.54,170.78,362.88,220.96,212.17,96.54,274.75,117.97,102.93,73.07,142.35,130.33,163.45,170.82,365.32,173.92
CASP3,242.09,162,209.28,174.31,127.56,183.01,277.19,168.41,368.31,235.06,268.07,393.36,241.16,169.73,166.2,211.37,143.71,198.91,160.39,161.49,200.43,183.96,308.28,181.79
CASP8,491.45,106.89,115.66,95.87,99.51,145.33,151.42,84.21,182.27,141.4,150.38,197.18,208.69,82.75,240.83,123.87,89.33,128.89,72.18,111.91,150.81,111.69,179.26,184.94
CASP9,168.26,435.07,216.63,540.37,177.65,247.6,121.63,352.86,431.58,282.8,336.72,282.39,229.56,787.14,171.29,421.76,646.7,164.41,499.22,239.4,239.34,344.56,176.55,346.27
CBLC,7.62,20.04,18.36,33.7,49.42,129.18,43.85,8.02,14.17,55.09,8,35.67,15.07,20.16,108.54,29.49,25.25,32.48,32.08,84.29,82.7,21.17,27.16,19.67
CCL13,14.53,30.06,14.69,6.97,12.02,7,14.89,18.71,32.11,27.55,42.5,22.79,28.99,9.55,23.74,27.53,17.48,11.16,8.02,5.75,70.05,35.77,31.24,15.74
CCL14,2228.47,1000.41,2128.64,1223.1,351.29,107.65,139.84,1685.46,1035.04,242.4,1634.58,47.56,652.74,670.45,103.45,1309.52,464.15,138.02,799.95,53.83,564.3,1038.8,536.43,1383.51
CCL18,37.52,30.9,19.28,8.72,12.69,113.04,22.34,17.38,326.76,66.11,81.73,113.95,183.19,12.73,135.68,185.81,15.54,38.56,36.09,15.58,20.43,24.82,127.66,43.28
CCL19,1655.92,118.58,239.58,60.43,28.05,301.43,200.24,104.26,277.65,44.07,91.54,31.71,1087.52,92.29,1109.16,156.32,85.45,689.09,76.19,30.46,222.8,219,1284.72,319.51
CCL2,399.45,943.62,1129.03,1091.79,523.6,1157.28,1603.57,2192.04,7291.56,2534.19,31972.45,1341.59,1561.72,671.51,641.08,3279.7,835.08,1174.19,1668.08,714.67,2355.48,611.74,1664.97,1582.62
CCL20,25.42,24.22,8.26,12.2,20.7,59.21,14.89,13.37,23.61,22.04,81.73,12.88,23.19,22.28,33.92,23.59,9.71,21.31,20.05,12.75,53.51,21.9,28.52,25.18
CCL21,20682.07,136.95,328.61,866.34,150.94,166.86,375.66,584.1,611.96,58.76,742.1,19.82,702.6,469.95,1080.33,608.55,339.86,667.78,1367.34,24.79,252.96,862.86,570.38,677.59
CCL22,82.31,22.55,16.52,12.2,9.35,43.06,19.86,9.36,30.22,18.36,39.23,24.77,104.35,11.67,45.79,26.54,19.42,43.64,3.75,17,26.27,23.36,70.62,25.18
CCL3/L1,114.99,162,130.34,37.77,73.46,209.93,38.89,49.45,251.21,146.91,98.08,306.17,99.71,32.89,79.71,48.17,83.51,45.67,178.44,275.53,272.42,132.86,278.4,148.74
CCL4,113.78,106.89,93.63,25.57,31.39,139.95,52.13,48.12,219.1,102.84,117.69,132.77,64.93,40.31,91.58,69.8,42.73,33.49,72.18,97.74,122.59,89.06,210.5,78.7
CCL5,1234.68,511.06,346.97,165.6,72.13,252.99,225.06,259.3,982.15,422.37,349.8,847.16,508.98,100.78,842.9,193.68,201.97,200.94,250.61,121.12,277.29,221.19,759.15,924.7
CCL7,9.68,8.35,7.62,5.5,8.5,59.21,19.03,9.36,28.33,12.85,58.85,11.89,17.39,6.38,15.26,8.85,7.77,8.88,3.75,5.75,11.68,5.11,4,7.87
CCL8,14.53,96.87,76.19,46.48,73.46,226.07,46.34,93.56,144.49,165.27,1036.33,144.66,33.62,11.67,67.84,37.36,60.2,22.33,88.22,60.91,123.56,28.47,127.66,35.41
CCNA1,14.53,26.72,135.85,128.99,57.44,220.69,144.8,30.74,36.83,22.04,58.85,266.53,59.13,49.86,118.72,73.73,44.67,24.36,78.19,152.99,129.4,90.52,88.27,87.35
CCNB1,128.31,102.71,99.13,84.83,188.34,258.37,268.92,62.82,69.88,89.98,81.73,88.18,115.94,58.35,512.18,89.46,58.26,99.46,72.18,220.99,554.57,94.9,89.63,78.7
CCND1,211.83,188.72,749.02,675.76,1294.97,909.68,997.06,399.65,239.87,820.86,418.45,1520.93,703.76,387.21,1390.69,646.89,335.98,2237.76,537.31,577.97,1744.48,312.44,323.22,419.46
CCND2,393.4,227.14,553.5,699,795.42,387.55,224.23,490.54,428.75,286.47,326.92,270.5,325.79,341.59,94.97,497.46,283.54,85.25,523.28,116.87,1114.01,496.4,258.03,465.11
CCND3,493.87,217.95,162.47,126.67,129.56,360.64,298.7,157.72,168.1,236.89,330.19,249.69,306.08,151.7,1166.83,198.59,151.48,276.04,192.47,167.16,165.4,138.7,175.19,150.31
CCNE1,49.63,76.83,65.17,27.89,26.71,252.99,437.71,26.73,66.11,115.69,62.11,110.97,52.17,27.58,1019.28,37.36,42.73,125.84,22.05,369.02,89.51,69.35,52.96,21.25
CCNO,7.62,18.37,12.85,27.89,10.69,48.44,16.55,12.03,13.22,4.25,26.15,30.72,13.91,9.55,23.74,25.56,13.59,26.39,34.08,9.92,15.57,28.47,14.94,18.89
CCR2,141.62,65.14,55.07,37.77,29.39,91.51,28.96,38.76,178.49,77.13,143.84,247.71,40.58,48.8,45.79,30.48,33.01,36.53,42.1,22.67,47.67,53.29,88.27,75.55
CCR4,164.62,40.92,21.11,7.55,12.69,80.74,46.34,16.04,89.72,27.55,65.38,25.76,134.49,9.55,64.45,55.05,17.48,65.97,26.06,21.25,48.65,49.64,101.85,28.33
CCR5,183.99,141.96,92.71,62.75,52.76,118.42,118.32,34.75,238.93,137.73,65.38,200.15,146.08,25.46,125.5,35.39,54.38,50.74,78.19,60.91,111.89,71.54,278.4,169.2
CD14,630.65,569.51,695.78,374.78,380.68,1028.1,1036.77,548.01,1236.19,1243.22,1203.05,691.6,881.15,301.28,610.55,675.41,359.28,251.69,611.49,444.1,867.86,473.04,1172,653.19
CD163,383.72,303.13,364.41,119.7,141.59,559.8,654.5,253.96,736.62,1560.92,755.18,452.81,1420.27,195.19,580.02,825.82,108.75,487.13,98.24,171.41,306.48,334.34,950.64,374.6
CD19,1893.17,56.78,20.19,19.76,24.71,129.18,27.31,28.07,205.87,62.44,45.77,154.57,66.09,29.7,371.42,60.95,27.19,88.29,24.06,15.58,24.32,35.77,61.11,47.22
CD1C,127.1,26.72,36.72,43,14.02,43.06,20.69,30.74,31.16,27.55,26.15,12.88,47.54,13.79,59.36,25.56,31.07,33.49,32.08,10.62,40.86,30.66,77.41,44.86
CD2,289.3,56.78,41.31,29.05,20.04,64.59,65.37,30.74,94.44,60.6,58.85,77.29,100.87,24.4,98.37,25.56,31.07,42.62,28.07,21.96,51.57,41.61,124.94,95.22
CD209,1764.86,42.59,88.12,19.17,26.05,7,21.51,42.77,75.55,139.56,81.73,15.85,48.69,10.61,37.31,73.73,17.48,35.52,18.04,13.46,62.27,43.8,67.9,23.61
CD244,79.89,18.37,32.13,13.95,8.68,53.83,7.75,20.05,24.55,33.05,42.5,37.65,24.35,14.85,28.83,29.49,34.96,14.21,26.06,10.62,15.57,20.44,25.8,20.46
CD247,256.62,37.58,33.96,18.59,14.02,80.74,36.41,28.07,54.77,33.05,62.11,44.59,46.38,19.1,105.15,16.71,21.36,49.73,24.06,16.29,30.16,33.58,51.61,40.14
CD27,1648.66,117.74,44.06,39.51,24.71,80.74,52.13,30.74,391.92,110.18,62.11,399.31,134.49,54.1,334.11,64.89,42.73,101.49,60.15,33.29,39.89,53.29,149.39,213.27
CD274,72.63,40.92,44.98,24.99,20.7,48.44,22.34,38.76,81.22,56.93,114.42,65.4,44.06,32.89,45.79,54.07,34.96,23.34,40.1,21.25,27.24,40.15,50.25,44.07
CD276,83.52,531.94,789.41,391.04,705.25,823.55,1093.04,479.84,519.41,874.11,778.06,408.22,1244.04,442.37,352.76,522.04,435.02,907.28,324.79,679.96,619.76,385.44,1458.55,338.4
CD28,578.6,70.98,84.45,43,30.05,134.57,65.37,61.48,106.71,86.31,114.42,54.5,170.43,30.76,133.98,77.67,34.96,70.03,62.15,26.92,89.51,51.83,161.61,84.99
CD300A,168.26,53.44,101.89,51.13,35.4,193.78,175.42,100.25,191.71,113.86,176.54,109.98,182.03,38.19,88.19,115.03,46.61,84.23,62.15,64.45,139.13,82.49,198.28,95.22
CD36,744.44,81.84,460.79,267.28,135.57,139.95,426.13,485.19,292.76,185.47,6181.99,73.32,1611.57,133.67,171.29,205.47,194.21,70.03,136.33,417.18,5101.12,255.5,1116.32,199.11
CD38,231.2,101.04,23.87,44.74,34.06,113.04,33.1,30.74,636.51,165.27,88.27,554.87,92.75,56.22,228.96,55.05,42.73,45.67,66.16,19.12,29.19,68.62,74.69,149.53
CD3D,1521.56,128.6,91.79,45.9,32.06,161.48,112.53,66.83,240.82,139.56,130.77,201.14,230.72,30.76,369.72,59.97,40.78,122.8,120.29,48.87,122.59,97.82,268.89,185.73
CD3E,873.96,75.16,52.32,33.7,9.35,64.59,57.92,52.13,120.88,67.95,62.11,80.26,169.27,22.28,259.48,43.26,17.48,69.01,50.12,29.75,64.21,46.72,138.52,145.59
CD3G,300.2,42.59,16.52,13.36,8.5,64.59,28.13,18.71,51.94,27.55,75.19,53.51,55.65,12.73,125.5,19.66,17.48,39.58,36.09,14.87,33.08,22.63,58.4,55.09
CD4,819.49,175.36,188.17,126.09,100.85,236.84,299.53,97.57,442.91,269.95,212.5,261.58,493.91,74.26,522.36,239.88,83.51,219.21,208.51,114.03,185.83,170.82,440.01,286.46
CD40,896.96,234.65,290.06,125.51,212.38,274.52,266.43,196.48,289.92,148.75,382.49,398.32,278.26,187.77,320.54,243.81,135.94,168.47,166.41,186.99,206.26,221.19,399.27,164.48
CD40LG,291.72,22.55,36.72,10.46,8.5,37.68,21.51,17.38,25.5,18.36,49.04,20.81,49.85,9.55,37.31,13.76,13.59,28.42,26.06,12.04,21.4,25.55,50.25,31.48
CD44,2050.53,521.92,955.55,1185.92,305.21,360.64,564.31,783.25,1803.77,752.91,1984.38,710.43,1024.91,446.61,580.02,1144.35,419.48,338.96,509.24,195.49,492.31,516.11,1121.75,570.56
CD47,2914.81,2564.49,2214.93,1743.72,3282.51,4941.32,3340.35,1650.71,1728.21,3290.78,1026.52,6137.22,2153.01,1444.87,6688.89,1681.14,1312.83,2163.68,1724.21,3635.66,3757.49,1921.37,1920.29,1876.95
CD48,2416.1,148.64,113.82,74.96,42.07,161.48,154.73,102.92,405.14,123.04,160.19,241.76,352.46,35.01,376.5,125.84,83.51,184.7,118.29,63.75,115.78,95.63,478.03,337.61
CD5,490.24,53.44,49.57,23.82,14.02,118.42,67.85,38.76,108.6,62.44,81.73,68.37,127.53,16.97,113.63,43.26,23.3,74.08,42.1,21.96,58.38,35.77,107.29,55.88
CD58,177.94,48.43,114.74,73.21,57.44,118.42,51.3,177.77,86.88,69.78,170,61.43,100.87,73.2,189.95,115.03,81.57,141.07,96.24,55.95,80.75,62.05,92.35,120.41
CD6,411.56,33.4,30.29,25.57,15.36,53.83,54.61,32.08,69.88,97.33,81.73,54.5,168.11,29.7,256.09,38.34,29.13,41.61,34.08,10.62,36,20.44,76.05,96.01
CD68,1009.53,448.43,556.26,216.15,190.34,1119.6,682.63,283.36,1736.71,1054.08,885.94,884.81,2144.9,177.16,1097.29,713.75,161.19,282.13,240.59,287.57,487.44,313.9,2289.68,708.28
CD69,624.6,150.31,108.31,74.37,38.07,166.86,57.09,128.31,146.38,104.67,156.92,120.88,148.4,40.31,125.5,57.02,73.8,101.49,126.31,68.7,182.91,112.42,376.18,220.35
CD7,387.35,30.9,41.31,28.47,34.06,69.98,56.27,32.08,133.16,66.11,150.38,69.36,112.46,18.03,166.2,87.5,31.07,250.67,40.1,18.42,47.67,35.04,82.84,77.12
CD70,105.31,22.55,15.6,12.78,17.36,134.57,10.76,26.73,48.16,16.53,65.38,37.65,25.51,14.85,44.1,19.66,9.71,23.34,28.07,13.46,23.35,12.41,20.37,15.74
CD74,36855.15,10170.26,11447.31,6279.96,7577.48,11664.3,13860.35,4175.57,21168.27,12748.09,6404.3,17433.71,14799.79,5155.69,51375.93,11208.58,4579.36,10807.24,7764.97,10651.98,10014.46,7273.76,26177.82,8683.55
CD79A,3483.73,75.16,16.52,37.77,19.37,113.04,25.65,38.76,907.55,543.57,94.81,781.77,183.19,71.08,1000.62,97.33,95.16,157.3,28.07,15.58,36.97,92.71,142.6,197.53
CD79B,767.44,20.04,37.63,23.82,15.36,7,32.27,36.09,58.55,12.85,45.77,40.62,49.85,18.03,132.29,27.53,21.36,18.27,28.07,12.75,27.24,27.74,23.09,36.99
CD80,265.09,40.92,33.04,9.88,26.71,48.44,105.08,10.69,98.22,45.91,8,47.56,55.65,24.4,105.15,27.53,19.42,26.39,30.07,21.25,17.51,18.25,108.64,29.12
CD84,1344.83,204.59,177.16,84.83,64.78,215.31,283.81,152.37,571.35,435.22,127.5,317.07,649.27,67.89,468.09,214.32,77.68,188.76,90.22,112.62,177.07,148.92,991.38,295.12
CD86,136.78,50.94,45.9,23.82,27.38,113.04,89.36,33.42,107.66,55.09,65.38,57.47,66.09,24.4,71.23,35.39,25.25,40.59,28.07,34,58.38,35.04,133.09,34.63
CD8A,809.8,313.15,136.77,73.79,29.39,150.72,156.39,109.6,659.18,286.47,192.88,181.32,361.73,54.1,518.97,121.91,99.04,119.75,138.34,92.79,153.72,124.1,376.18,480.85
CD8B,282.04,108.56,71.6,20.34,32.06,53.83,57.92,37.43,125.6,77.13,75.19,65.4,183.19,19.1,91.58,18.68,13.59,73.07,20.05,58.08,83.67,28.47,180.62,111.75
CD96,619.76,100.21,68.84,41.25,27.38,150.72,81.92,52.13,132.21,97.33,111.15,138.72,165.79,30.76,196.73,48.17,29.13,55.82,62.15,32.58,86.59,71.54,187.41,222.72
