EOC1005_Pre_Extra,EOC136_Pre,EOC136_Post,EOC3_Pre,EOC3_Post,EOC372_Pre,EOC372_Post,EOC443_Pre,EOC443_Post,EOC443_Pre_Backup,EOC443_Post_Backup,EOC540_Pre_Extra,EOC87_Pre_Backup,EOC87_Post_Backup,EOC87_Pre,EOC87_Post,EOC1129_Pre_Backup,EOC1129_Post_Backup,EOC1129_Pre,EOC1129_Post,EOC1129_Pre_Extra,EOC1129_Pre_Extra,EOC1129_Post_Extra,EOC183_Pre,EOC183_Post,EOC183_Pre_Backup,EOC183_Post_Backup,EOC183_Pre_Extra,EOC183_Post_Extra,EOC183_Post_Extra,EOC218_Pre,EOC218_Post,EOC218_Post_Extra,EOC26_Pre,EOC26_Post,EOC26_Pre_Extra,EOC26_Pre_Backup,EOC26_Post_Backup,EOC26_Post_Extra,EOC26_Post_Extra,EOC376_Pre,EOC376_Post,EOC423_Pre,EOC423_Post,EOC568_Pre_Extra,EOC568_Post,EOC568_Pre,EOC587_Pre,EOC587_Post,EOC587_Pre_Extra,EOC649_Pre_Backup,EOC649_Pre,EOC649_Post,EOC649_Post_Backup,EOC677_Pre,EOC677_Post,EOC883_Pre,EOC883_Post,EOC883_Pre_Extra,EOC933_Pre_Extra,EOC933_Pre_Extra,EOC933_Pre,EOC933_Post,EOC868_Pre,EOC868_Post_Extra,EOC868_Post,EOC1133_Pre,EOC1133_Post,EOC167_Pre,EOC167_Pre_Extra,EOC167_Pre_Extra,EOC167_Pre_Extra,EOC167_Post,EOC740_Pre,EOC740_Post_Extra,EOC740_Post,EOC551_Pre,EOC551_Post,EOC60_Pre,EOC60_Post
CDKN1C,351.468599238594,103.762667206819,228.917122095616,93.877324982778,464.175080843403,1437.10078857938,1543.4120297124,353.721509262833,425.598150069303,520.639930461514,630.128690571995,141.329881407835,216.340685074227,268.20185488916,212.884023973013,431.038814099788,54.4820566333863,113.046901175793,90.4964961894663,2839.94569720052,815.707600276324,759.541960119851,250.086474799554,739.976804968515,1507.92365217975,1034.43680724614,1690.82050133477,815.625496643492,8272.75491088744,2243.47599955864,1186.22583161183,742.226671261494,1493.7074817869,635.702253313986,2210.22827951906,809.060481064311,879.817912486365,3091.18096942531,998.80877249976,1361.42949220761,1180.69008765767,956.357183278956,903.817680200095,240.667460064041,1052.0033222111,3128.33074202918,157.052020437381,221.976324181853,451.530533391353,242.629772684661,291.86646388154,331.630736224984,1134.70338336127,1998.22968157226,113.677792629674,1743.10757956442,147.4182450247,118.730597529457,550.700231569078,150.612598789095,242.950165732035,464.998491448744,2403.31313888779,208.933749763763,1921.4797376773,1451.1011598697,360.260087960605,1143.62053823462,540.335900904844,668.134651409114,650.084079231379,235.040696433728,1228.97458540375,403.903694513483,1140.72338098889,367.199635175663,1593.3170068238,1674.67618944009,1560.61340115294,1543.78442368022
CDKN2A,76.7164962805053,38.1480394142716,29.6524769553907,11.8403833311612,163.735635838272,105.861107534102,394.166697068503,811.881003685869,124.589622385627,66.3145710885939,222.611631767091,90.63546742459,221.715608927003,320.039188187065,293.887064541361,371.983102561707,767.196307694623,552.336537288438,331.281816407868,17.4153481212471,489.867879513771,486.748720921876,608.701042436651,25.5616433957237,89.1098397681049,42.8042816791506,44.4284666266643,35.3658751932137,9.59530822836355,8.45000376481598,49.537647595528,23.3880508089813,47.1035996358869,544.679593904767,295.870528126745,472.230549381545,1121.45804338051,44.7646559173137,296.440659469939,1250.85296335267,892.925688156054,1149.11134424991,1074.48538045065,815.465471479128,528.833433170721,242.433977027597,899.52551449231,66.8315814741063,63.3727064408917,200.736862293065,361.394862345467,1427.2715229936,111.577505650977,16.9733795345906,7.61758404219464,5.78464904722706,239.866974955443,257.360177885081,212.570289385664,238.736991697608,281.500935831663,674.897251834546,104.046913748868,173.389003953331,94.456579697268,30.3954471035546,117.826240532998,137.371836424579,397.687223065965,344.399304850059,491.81411225553,803.687542644362,1144.79824393774,913.839770135968,52.6799429941581,1348.40521769424,1165.52484599341,696.740280308098,1547.03300897467,1546.3152178174
COL5A1,34713.3225146463,4475.52798408235,8420.11735625274,7719.9299319171,6833.64578253316,76956.6747208179,56895.9576555134,33298.9325899185,48844.1155600614,50993.0832704867,31731.221518332,32776.2429317127,16505.0474209114,19355.6094940177,37688.5056026186,46325.4722945734,80.0552668898737,62.213730848423,9376.08340877292,10619.6304936491,29188.1458707572,138219.520303275,32730.6572159832,5648.46776370121,45794.3567462816,64465.0317205374,13404.703073645,9005.77276013857,5858.73528243498,18049.2080416469,147632.900677397,21782.5299093294,63169.0673517,10751.596529417,18075.7615002306,22134.6577686221,7825.42270049493,7516.83262741271,11408.3173653152,2173.49788564546,12701.1435642728,12745.4982131254,13263.2039542129,299.081892118419,126938.430479397,5145.06173774227,7923.07308232175,31881.0512053442,3778.59762153817,11518.804819756,13409.0482751859,5909.88360525832,14734.2081123031,2972.65597030808,12535.0275254329,2550.0661216526,364.79769107807,1557.42705586126,2310.73817166385,22061.5411992239,314.028148103225,2358.24374601771,24024.6029533247,12674.7361889885,51955.0006107452,11881.2425455894,24920.6737081266,68842.7510588742,139114.44877824,118326.991163859,150135.413879793,565.80361197958,577.715522482511,35424.0088494625,29028.6747414347,3615.56198159644,9164.5886775724,56229.7525771518,22119.0637603584,33474.8140524889
COMP,1950.02628917656,3.81480394142716,105.562817961191,28.7552166613915,451.045336460146,577.160558884554,205.397038174654,734.795824162861,833.255394515077,3135.12716933736,598.948559738168,1760.47874014543,568.398197431044,347.084753385972,273.134219437074,1358.96016665791,0,12.8979685905267,4.84802658157855,23.6351153074068,283.724382704808,486.748720921876,42.4675145886035,63.5763951124411,714.035988791179,2373.85412145623,71.0855466026628,174.619008766493,3.19843607612118,8.45000376481598,3875.98621051496,59.8458947170991,3088.9493894556,89.5662968586716,79.6252129519569,488.94667502337,391.226878590517,20.5675446106577,24.7894628128172,4.22585460592118,370.076870754943,727.276276586555,2325.24725881266,2563.22527854614,5.6635441303424,13.3205481883295,15.1011558112867,572.842126920911,5.2810588700743,281.031607210291,50.4271900947163,56.6710751776872,191.275723973103,18.5164140377352,57.4248643180827,2.89232452361353,0,1.9898982826166,16.5210069470723,684.966872152533,10.4408335686494,3.11730832256141,492.090731418826,60.6861513836657,1591.5286716115,45.030292005266,217.003723571564,583.830304804461,2476.8997697478,204.05658812366,413.333136895605,16.1116606426346,0,129.32273071676,222.876681898361,386.763550164531,189.304990909758,1782.46784715592,611.11764802218,124.85251076758
DDB2,513.822114622919,186.925393129931,233.661518408479,302.775516611122,447.955984840556,645.31771031062,522.295325644121,392.885753697909,698.698602338599,577.783337463388,499.607212662951,433.206810402278,299.652004792253,317.785391087156,294.556511157628,519.282980765886,181.23622920902,286.031421095798,248.865364521032,779.958805144426,793.541632877511,722.099750818168,495.454336867041,258.238140972183,892.255668327388,629.57964303084,894.916256337094,319.029665805449,504.553291008117,828.100368951966,793.941216868868,529.670562438693,766.218554077093,409.237876703849,473.560477030059,461.365067714359,527.536696017982,942.477485394254,512.315564798222,248.621112648363,266.692406860768,376.611976050938,501.586762238705,293.240448912981,736.968679960805,510.176995613019,191.281306942965,673.089499132071,427.765768476019,396.237110787181,304.855285572603,288.252876212434,647.548023867277,521.545662062876,378.535330096749,357.68413275354,386.035912818917,289.198550406946,283.059919026506,711.404190025087,479.475203114131,462.92028590037,609.783142052792,396.19387403336,859.166697520356,779.024051691102,365.346112731813,739.51838608565,620.737882959485,408.11317624732,699.788696959332,1323.05166218341,239.238023113923,479.903782707219,728.401519476917,352.902928068414,367.474394118942,1354.42561216843,401.753268607174,426.017013092081
ERCC3,1077.5991570564,582.902042250071,932.273875477483,942.156216493827,1114.48359676711,1840.24308850377,1000.57700025082,706.821363852092,800.363734205271,1058.21124077544,689.588474952781,1086.08941473195,623.491166921997,712.199883571216,822.08044477629,913.666525635141,1234.18536455222,1022.73303882529,1405.92770865778,1140.70530194169,1666.88074839075,956.381003305841,1583.0945716085,1287.91357109223,1259.11046321686,1512.41795266332,1227.4950636567,1205.38691283537,1045.88859689163,1237.92555154554,989.414096570141,973.355643962014,1070.82183172249,942.266570204236,911.918228333991,865.059501964424,986.918483322231,1115.48683123684,933.736432616115,743.04610154114,1073.35462514334,1147.62861993475,823.691999331293,875.048192174594,896.255858626684,837.862481045925,999.193142846802,1393.91584217422,1243.6893639025,895.460959620368,809.127186519766,902.539345422426,874.687946085337,790.805182861609,1026.02997368329,889.87184509843,1283.03845457938,919.996305996409,1218.1489122308,740.24490043151,561.797160097713,816.215229123996,846.020806876041,567.848987947158,1319.8042642632,1290.11786595087,583.197507098579,895.20646736684,1161.93832130578,763.705458505006,944.387736831098,1303.14902256603,1151.00071120365,995.968897700167,850.983694521016,1139.97427723592,902.910569388208,1623.12365748905,1500.63333569891,1409.65233440964
ESR1,392.503004225841,3028.19136870488,3344.79940056807,4945.89726575933,3470.11420670451,3143.92987854702,2870.66812877434,856.640140183099,426.594867048388,237.744792094214,841.863532513333,4123.14567063728,3598.51151943342,4913.27767780143,3623.7145338551,5659.84508970714,8230.12618776174,6793.43592703389,17456.1277114038,2649.62082130403,7179.55684047558,2789.97948167968,13476.3579627835,3444.26759088534,2278.66590264154,4610.37783919184,1438.21293394316,4733.13296335844,2286.08218540762,8557.74131281738,951.92614703839,4152.0669024415,1902.98542528983,18.9327131571176,1020.87904605772,319.27799975885,269.079120116554,15372.4248131186,1182.66395502815,20.424963928619,7229.01047535189,4141.99037440273,8256.95141353013,7792.48523605413,259.815086979458,1301.41755799979,174.670035550549,620.578970830987,1307.06207034339,2012.6052367296,4083.07430100248,4086.61419892433,1000.21263994269,907.304287849026,350.994833944199,2859.54484567925,2188.78614646842,2332.16078722666,2709.44513931986,1583.83567981937,2599.36598807184,9834.06865490707,1262.20846187151,4671.09976650273,1555.29875063173,1958.81770222907,3030.42309284509,2867.63708536309,5703.35350123081,5203.87349628439,6009.02668005826,12.3206816678971,4376.28368948025,5330.42554049129,844.905239560151,8392.16707195527,8190.22475377217,5586.41982596807,5070.01307988772,5788.76978977794
MS4A2,39.2503004225841,0,54.5605575979189,3.38296666604606,119.712375259114,8.70091294800836,4.8904056708251,4.97323738858113,119.606037490202,27.5134922601613,67.4360969196726,102.925022329619,12.0935786687456,33.8069564986337,2.00833984880201,54.9829038457997,1.1118787068038,1.51740806947373,51.7122835368379,24.8790687446388,77.580885895846,31.0235448499657,73.1384973470394,1.31085350747301,208.308716341025,10.7010704197876,295.766649257508,11.7886250644046,5.59726313321207,437.287694829227,92.3810184889577,55.0307077858383,404.044210210052,0.728181275273753,169.30834753995,25.9099947448282,1.77025736918786,147.602378970602,137.374939754362,0,3.95099862015953,44.4817294548352,18.4289065998246,0,16.9906323910272,350.996444762482,34.7326583659594,4.7736843910076,39.6079415255573,66.3304414533606,3.05619333907371,34.2825022679836,385.540131133286,43.2049660880489,26.9545281493041,0.964108174537844,6.24653580613134,11.2760902681607,1.10140046313816,2.40339253386854,0,0,180.802833727541,10.4033402371998,160.446792910428,177.869653420801,2.54301238560427,298.783744223459,12.1035241802685,9.47098088337662,26.160325119975,1.89548948736878,0,1.22580787409251,215.785151110686,15.0491653760518,35.262694385151,76.5476989576162,24.8973856601629,5.90518632008826
GHR,262.263371005448,205.236452048781,163.681672793757,131.935699975796,1126.06866534057,242.175410386233,216.15593065047,135.520718838836,245.192376854915,146.03315122701,266.843910391823,288.804540268185,350.713781393623,504.850550379596,279.828685599747,644.182416662518,165.669927313766,63.7311389178967,277.953524010504,825.985082322008,516.467040392346,411.864302318511,198.181734746816,34.0821911942983,957.062824522374,271.093783967954,1789.83251267419,159.146438369462,361.423276601694,564.037751301467,638.633997380186,112.125067113645,804.948180444377,28.3990697356764,3464.11584347829,342.680575657405,40.7159194913207,1234.05267663946,721.993104423301,10.5646365148029,181.745936527338,350.664300535617,104.964641938132,692.795164164932,441.048499150414,5550.6724300769,272.827548323913,307.90264321999,7441.0119479347,240.884234751678,77.1688818116113,650.667900188261,1801.17973408006,540.062076100611,123.053280681606,1122.22191516205,129.303291186919,153.222167761478,686.172488535071,98.5390938886101,7.22826939368037,241.591394998509,6008.28284721946,54.6175362452991,1618.70111234633,1264.22544804784,44.078881350474,924.970365258832,400.280835390308,321.15235177268,240.67499110377,27.4845975668473,62.0246726591653,69.258144886227,1773.89577274559,99.3244914819417,206.936338102333,1031.05063902095,124.486928300814,128.226902950488
MSH6,3976.76907463363,3465.36790039244,4591.3895317727,5510.00695732251,3201.34061580018,3639.8819165835,2547.90135449988,2660.6820028909,1944.59482619487,2694.20581901426,1758.41435516351,4484.15134597251,3194.04849951204,4104.16451893413,4510.73130040932,4482.12486535575,3387.89441963118,2276.87080824533,4528.05682719437,5443.54024132696,2766.31273137188,2647.69908633328,2913.74336205141,7111.38027804109,3523.88911810233,5555.63905960642,3041.44588678536,7177.79908608934,9877.57021208124,4132.05184099501,2348.35226709611,3394.01890269158,2422.17176794316,9904.72170627359,3336.71550275516,5400.98019487353,7021.72585488364,2990.76295750269,3474.65637092988,6186.6511430686,6863.54310298713,4264.31513040353,2852.47423892938,3035.21388954552,2510.36593577427,2261.82908237835,4053.15021974935,5480.18968087672,8256.93554336118,3452.67403144072,2726.12445845375,2131.11228384241,2176.75758792308,6500.80436174821,4937.36639534862,12998.1064091192,3877.22477486572,4152.91771582085,7670.15282529412,5589.4899029336,5085.48908897601,8209.95101885257,2112.49348652415,2874.78968554622,2417.05329965064,2000.47072233394,1435.10665627601,1923.20570994411,2433.67289767542,2490.00697406593,2334.80901695777,3677.24960549543,2536.80911175986,3749.746286849,1997.78553047077,3228.79843143191,3147.65945669558,3525.88074586408,3355.48856738105,3262.1936428259
