PJ_1_Pre,PJ_1_Post,PJ_2_Pre,PJ_2_Post,PJ_5_Pre,PJ_5_Post,PJ_6_Pre,PJ_6_Post,PJ_12_Pre,PJ_12_Post,PJ_17_Pre,PJ_17_Post,PJ_19_Pre,PJ_19_Post,PJ_20_Pre,PJ_20_Post,PJ_21_Pre,PJ_21_Post,PJ_22_Pre,PJ_22_Post,PJ_25_Pre,PJ_25_Post,PJ_27_Pre,PJ_27_Post,PJ_29_Pre,PJ_29_Post,PJ_37_Pre,PJ_37_Post,PJ_42_Pre,PJ_42_Post,PJ_43_Pre,PJ_43_Post,PJ_44_Pre,PJ_44_Post,PJ_45_Pre,PJ_45_Post,PJ_47_Pre,PJ_47_Post,PJ_49_Pre,PJ_49_Post
ICAM1,29.7739,23.7524,9.15986,18.0764,26.1226,14.7477,11.2974,3.89979,2.90522,10.9647,10.4726,21.495,20.4266,28.112,11.0078,44.2046,11.6061,23.8708,3.71377,11.7506,17.1925,17.2309,5.73308,3.61803,13.1651,17.664,4.20046,18.7278,20.3976,34.0293,3.05919,6.68713,12.0494,4.88526,16.5714,11.2666,8.93971,12.4601,16.3535,8.43348
IL2RG,2.27551,2.6504,0.409905,3.24878,4.33081,3.31763,0.8102,0.357972,0.799608,3.14539,0.544689,7.13098,9.72531,14.6595,14.4667,14.4826,0.641961,8.58154,2.66932,0.518559,6.14454,7.22638,2.70615,1.07762,5.80439,28.831,0.598064,7.76062,1.61345,3.82588,0.795482,3.14235,4.41567,3.00133,1.3923,1.0952,0.362278,1.29271,2.748,9.47981
ITGB2,3.98546,5.46277,4.38748,16.6755,15.3569,13.6976,3.19081,1.20681,1.62694,7.98245,1.38115,13.1454,6.57937,10.4664,13.545,20.2383,3.88758,17.0345,4.74027,5.84939,8.41875,9.05128,3.92627,3.94429,10.7804,31.6261,3.13753,7.66476,5.423,15.9066,1.83671,5.91273,10.7708,5.50139,7.85818,3.94633,3.55882,3.37218,12.5062,9.20142
ITGB3,0.9712,3.26352,2.76069,32.2336,36.7913,79.6949,0.532219,1.29427,0.438139,1.28984,0.690914,1.47875,3.25761,8.17731,2.54135,7.51364,1.46893,3.75936,17.0811,7.07967,2.56,4.8422,1.2475,1.04685,5.30796,10.2624,1.02095,1.37123,5.59409,10.7605,0.912433,2.19044,2.00151,3.53716,7.04129,2.95587,2.04802,0.870889,3.67045,3.26444
JAG1,11.8963,11.749,14.4963,13.5749,12.435,10.0508,2.42885,4.97865,16.2495,8.12004,4.53815,10.9895,11.4082,13.9043,6.98079,11.6232,8.91134,10.9716,9.48467,4.3462,8.85881,10.4651,5.33342,4.88367,3.82132,5.12709,4.69018,4.86005,3.51217,6.49134,2.9328,6.7986,9.34077,5.25309,19.9498,17.0393,6.62656,7.0005,4.62424,9.69392
JAK3,1.63683,1.82926,2.31094,3.32386,3.94457,2.58127,1.64109,1.59873,0.560555,1.4954,3.14277,5.1931,1.86542,7.1845,9.42167,9.83205,0.982669,3.63423,1.71859,2.29844,4.05616,2.5222,2.09533,1.99719,4.55043,7.93554,0.865566,2.71328,2.12945,2.49022,1.60428,1.73872,3.61978,1.30939,3.03364,1.17932,0.931178,0.906276,2.35188,3.84751
KIT,0.75264,3.36044,0.265509,1.15229,0.195072,1.4867,0.0828485,2.85463,0.253221,3.5294,0.327961,1.91779,0.130282,1.967,0.94051,2.90531,0.24115,2.12236,1.83674,0.211874,1.25305,2.32108,0.322689,8.2708,0.640305,2.21035,1.9239,1.17664,0.0984726,0.673539,0.749295,1.7555,0.97576,1.72313,0.438992,0.641525,0.216926,0.71779,0.53595,3.01454
LAMB3,11.9989,8.42464,31.6763,31.1602,4.50565,9.02101,7.3907,5.63678,0.188618,0.333943,3.8821,4.60066,22.3973,80.5141,1.25136,4.0837,9.91059,10.1012,3.31705,4.81459,19.8376,10.695,6.35779,1.50033,3.8326,5.07197,2.51797,0.20365,19.6827,38.8605,5.54972,5.3259,3.20666,6.59378,5.53733,5.07371,1.18714,1.70662,3.70324,2.12321
LYZ,27.33,30.4653,1.24707,25.8158,48.3735,31.9952,4.48036,5.84681,4.34775,57.3223,5.44437,29.3964,35.9649,59.3658,66.0575,113.54,2.5039,70.7807,13.1385,6.98,31.1694,41.3409,7.99575,5.55655,32.4811,236.735,9.02542,74.1424,5.26926,40.8925,3.30098,42.031,17.9453,15.4543,11.6556,14.7368,2.63869,9.20129,31.5502,36.6609
MET,6.22559,6.8119,1.61193,10.2155,3.0161,8.58838,4.71528,2.9918,4.36903,15.8673,2.98247,3.73821,13.7669,12.9326,7.38033,7.22241,3.32974,4.61216,15.8788,7.49302,4.36191,8.29263,5.67131,4.92447,6.91929,5.48894,3.70844,7.81548,8.40432,13.8491,3.73711,5.59567,8.26239,14.4402,7.28397,11.7042,9.15719,15.5651,4.02323,5.86159
MLH1,6.81052,8.60763,8.3014,11.6617,10.1165,7.06339,11.1592,12.4104,16.3343,16.5621,6.4961,11.655,13.6603,9.92195,10.3354,8.71586,7.34553,8.10586,12.9808,11.4235,12.6256,12.6641,11.1178,10.5619,11.656,13.3342,10.6886,14.6786,8.97062,10.3228,16.4367,15.6415,11.2825,5.84369,11.4543,12.0146,15.004,11.609,10.0507,10.381
MSH2,8.08277,3.10713,5.91705,3.31236,6.52617,3.5689,9.82288,7.49673,6.60636,4.23786,9.12686,3.91299,13.5179,2.53334,6.07411,2.30515,5.24899,3.35122,9.33592,6.49739,4.78799,4.11672,13.0353,7.34183,6.62871,3.55923,15.1901,13.4818,7.52787,3.58883,13.1762,8.56505,5.67703,4.64324,5.10405,6.29058,6.33669,6.14559,7.24533,3.77344
NF1,13.4659,12.0064,7.12039,10.9735,25.9821,14.9107,11.8715,14.5785,16.2207,13.7238,16.5753,14.1065,7.20711,7.91082,11.1049,9.91346,7.46567,8.89134,8.92336,6.42671,11.9233,13.4765,14.124,12.7685,12.8642,11.0559,14.9358,9.70314,8.89611,9.92984,8.09205,11.2953,11.4324,6.94095,15.1133,19.6828,12.0123,11.0448,12.6876,10.8251
PFKM,9.45081,4.67912,10.5867,4.77869,9.76548,9.01824,6.78696,8.97591,4.37631,4.19638,8.47211,6.15843,4.83676,3.92504,8.24594,6.46921,3.85473,3.41706,2.57817,2.70717,7.18213,5.65748,7.46904,8.10464,12.7071,6.35551,6.5236,6.34957,5.2701,3.7788,8.27539,4.84607,4.68563,5.42163,9.06261,8.64199,6.39996,7.06443,5.96988,5.81063
