PJ_1_Pre,PJ_1_Post,PJ_2_Pre,PJ_2_Post,PJ_5_Pre,PJ_5_Post,PJ_6_Pre,PJ_6_Post,PJ_12_Pre,PJ_12_Post,PJ_17_Pre,PJ_17_Post,PJ_19_Pre,PJ_19_Post,PJ_20_Pre,PJ_20_Post,PJ_21_Pre,PJ_21_Post,PJ_22_Pre,PJ_22_Post,PJ_25_Pre,PJ_25_Post,PJ_27_Pre,PJ_27_Post,PJ_29_Pre,PJ_29_Post,PJ_37_Pre,PJ_37_Post,PJ_42_Pre,PJ_42_Post,PJ_43_Pre,PJ_43_Post,PJ_44_Pre,PJ_44_Post,PJ_45_Pre,PJ_45_Post,PJ_47_Pre,PJ_47_Post,PJ_49_Pre,PJ_49_Post
IRF4,0.373085,0.865432,0.064124,0.499575,0.6187,0.645204,0.13642,0.155706,0.106457,0.554515,0.0794181,2.338,1.07392,2.3911,13.7388,5.33389,0.0408877,1.43792,0.279627,0.100209,1.31844,1.23449,0.296156,0.0921384,3.27495,11.1354,0.12902,4.67736,0.123196,1.33216,0.316516,0.983154,1.10494,0.400423,0.152667,0.364765,0.0293138,0.273477,0.252003,1.92409
MYC,12.7813,38.2524,94.7994,10.1904,27.5542,54.9414,22.4482,28.7562,12.7114,15.8458,39.8408,76.9481,24.4213,34.3561,17.1472,56.286,26.6261,24.9605,25.998,40.4461,10.0427,32.3523,15.3552,22.7272,13.0449,19.7621,32.9294,23.7881,30.5995,16.1254,7.3803,21.0472,32.9984,19.1689,9.51318,8.40831,45.4026,76.5151,16.2182,52.7592
MYD88,2.85113,2.22193,3.34035,4.98828,4.06468,4.83588,2.61461,1.6794,2.99383,4.79238,1.4087,3.88305,4.18533,4.07702,4.2459,5.61825,3.50898,6.45859,4.47985,3.67235,4.03119,2.60991,2.59563,1.98025,3.98018,5.09658,2.47614,3.95009,2.48963,4.13821,2.05402,2.60728,3.51971,1.28487,3.03405,2.60087,2.48933,2.23376,3.7284,2.7918
NBN,11.6343,7.59184,5.18663,7.89645,8.66371,6.97581,5.59568,7.82116,18.4106,12.3522,4.00216,8.59376,17.6219,6.72938,12.0299,6.45579,5.85506,7.35153,12.648,5.83624,10.3711,12.2868,8.32809,7.26283,10.9561,12.2511,14.5595,8.3501,6.92088,6.25044,14.1006,12.4563,9.51714,9.31137,12.047,17.0845,10.6528,10.9699,6.58226,8.45281
NGFR,0.0972204,0.387883,0.250437,1.70923,0.127176,0.186554,0.107176,0.24441,0.117172,0.0868982,0.0105739,0.425174,0.0375042,0.405356,1.53783,4.84346,0.504276,1.3542,0.746593,0.457442,0.922381,0.870722,0.402535,0.0901438,0.886118,0.560939,0.12537,0.133312,0.157892,1.41735,2.85075,1.87304,2.57755,0.916573,0.173453,0.150701,0.074936,0.200891,0.17263,1.56877
NRAS,3.39679,2.04884,0.828149,2.0154,4.83629,2.62612,2.35174,1.9385,4.29106,2.80739,4.80783,2.7908,5.7979,2.68686,2.77481,2.64349,2.74707,3.45814,2.72181,2.51051,2.60466,2.50421,6.60479,2.09598,3.36807,3.3153,4.7265,7.01859,1.8341,2.44092,4.10061,3.39028,3.17916,2.94593,2.50713,3.06545,2.39902,1.87599,3.6032,2.16785
NT5E,5.19113,5.51149,0.721004,7.48302,4.09792,4.87707,3.92008,2.18489,1.71953,4.76797,0.582792,5.16488,2.04995,2.72137,3.36041,5.5376,3.07391,11.5291,9.35493,5.52999,6.05419,7.2269,2.07199,7.82842,3.20242,4.3204,1.9881,1.87199,3.41492,17.2542,3.52729,10.7175,7.24818,7.85972,6.09649,7.13297,9.96412,2.66713,11.6276,7.46726
OLR1,0.974539,3.56403,0.12336,2.44013,3.41934,6.10953,2.60208,0.244366,0.967683,2.32481,0.2244,10.0858,1.93898,2.14457,3.1785,6.06872,0.600292,3.31128,0.982641,1.86583,1.64928,2.66179,0.47187,2.19007,3.55415,11.6696,1.24975,4.90156,0.791932,10.4868,0.884737,4.02494,7.86236,2.31098,1.29227,2.32208,1.376,2.60031,3.42781,0.489988
TNFRSF11B,1.85108,1.82582,2.35195,7.26054,2.59836,4.42304,1.22995,1.0936,1.18386,1.44146,3.94522,1.96918,3.97742,1.23558,0.636749,1.57856,3.93983,2.7245,8.72871,6.2254,3.85455,2.89014,0.655066,0.402661,3.88347,5.97238,1.49439,2.30437,3.1656,3.65598,1.4757,0.982443,5.24639,3.42999,3.21677,2.80259,14.7002,12.3414,1.90876,0.959257
PDGFB,0.535217,0.951912,1.88841,2.40947,0.729829,0.978685,1.27536,0.595873,0.220566,0.412612,1.05557,1.60502,0.605638,1.44841,1.82437,2.071,0.541767,0.714547,0.594657,0.867415,1.37103,1.33008,0.704583,0.40341,0.699612,1.01425,0.573386,0.595513,0.549725,0.940516,0.554151,0.431205,1.94287,0.677698,1.15542,0.254076,0.90758,0.604581,1.34905,1.21212
PDGFRB,6.23774,14.1337,1.64288,13.0671,5.45971,10.3113,3.85178,4.72833,2.62803,9.0907,0.216837,9.28001,3.39559,11.9516,8.65078,19.8956,3.60606,13.3184,5.70366,7.13871,12.3501,12.5836,5.07829,9.48635,7.78701,8.3689,4.34894,5.11535,0.874266,9.51133,2.77388,9.15116,12.3151,5.45938,17.1161,8.01112,6.73631,4.85803,6.67123,12.4478
PDK1,0.6181,0.438195,1.00509,0.524281,1.30281,1.55108,1.01045,1.72762,0.545813,0.56819,4.62884,1.62802,1.67135,1.08955,3.80774,1.67473,1.62162,0.907661,0.735157,2.25422,0.698062,1.04437,2.17395,0.917491,1.55868,4.35002,1.38189,1.61404,0.457123,0.875867,2.46828,1.14889,0.689114,0.517495,0.705817,0.428478,2.38848,0.611121,1.05436,0.711075
PF4,0,0.576718,0.15609,0.0947579,0.237794,0.188089,0.226091,0.11969,0,0.148943,0.217483,0.277617,0.4714,0.157308,0.148497,0.117234,0.167627,0.0593248,0.217813,0.174233,0.031619,0.268902,0.176908,0.0199362,0.0592702,0.0705647,0.440786,0.548388,0.117027,0.281976,0.052681,0,0.172827,0.458685,0.297296,0,0,0.18364,0,0.0808681
SERPINB5,4.33037,1.48942,0,0.224326,0.00852948,0.0242878,0.980764,0.83717,0.296976,0.817394,0.0546066,0.252058,0.12451,0.486665,0.0319588,0.12773,0.0507315,0.186726,0.0117191,0,1.00032,1.3759,0.571097,0.205947,0.215254,0.130984,0.878675,0.678622,0.306953,0.987304,1.88773,1.37556,0.167377,0.459028,1.91948,1.97518,0,0.019761,0.16774,0.295868
PRKCA,2.55784,3.49637,2.98091,4.92014,2.02357,2.63302,3.65837,6.05729,1.97487,3.19393,2.05448,5.03792,0.894074,2.68533,2.28077,3.05891,4.43831,2.86497,5.00925,6.59014,4.93042,4.62471,4.16987,5.34243,7.31681,4.35936,3.59626,2.97105,6.71421,4.12785,4.60419,5.78288,6.27493,3.85261,3.01769,2.92481,2.52999,3.26883,3.00189,4.58794
PSMB9,9.8175,4.69599,2.97503,4.16079,15.514,3.67569,3.37511,1.581,2.73369,4.02913,1.40796,8.27602,11.1818,7.2252,15.9519,10.7073,3.01419,9.69336,5.22216,2.04295,5.72136,5.04573,9.74731,2.85345,8.98197,17.5821,2.19736,16.6232,4.90216,4.2545,2.55946,3.48543,5.9965,3.4776,1.79137,1.68259,2.27243,2.29834,5.54722,8.2529
PSMB10,18.941,11.259,14.3601,13.2114,23.8791,17.2854,5.15455,3.57166,7.25801,9.36406,5.38581,13.8574,6.76554,12.8068,22.4139,22.2096,10.8345,16.7922,9.84401,9.99298,9.98352,7.15195,8.41807,8.70155,29.9537,24.5084,5.77988,15.0258,12.5523,10.2649,5.16623,6.80829,12.5349,5.24786,10.1048,6.62049,8.65153,7.26495,14.2723,12.9871
TWF1,8.96919,9.17404,6.99334,11.635,6.75361,4.69217,8.027,9.6035,12.3838,10.0555,13.5005,9.63246,35.7849,11.6432,12.987,9.2969,10.3545,12.2524,9.56915,6.12366,12.8663,12.0739,14.4925,11.184,24.5414,18.0587,14.8115,9.94418,9.25349,12.7045,21.0159,16.3905,10.7587,17.0371,10.2753,18.222,10.9171,11.9983,12.6244,8.1283
CD45RA,5.64495,10.4908,0.784966,10.2506,16.4791,13.72,3.87461,2.64159,3.32739,15.2487,1.86743,24.5883,19.6333,43.6223,34.1466,26.5014,2.68908,21.7072,8.8921,2.63552,13.2215,29.7091,5.74588,4.32642,11.648,77.8457,3.42086,20.564,4.92662,15.1045,3.09933,15.4051,22.2569,11.6886,6.21865,7.35992,4.90783,6.65817,11.2852,38.1019
NECTIN1,7.83343,4.55766,13.7492,9.12772,1.81696,1.31671,11.4927,7.77462,7.40046,4.59762,0.942914,2.33277,3.35762,5.42103,2.35409,5.65244,5.42693,5.56483,2.57217,3.09639,3.34463,2.25643,4.48077,2.94374,3.20805,1.9574,6.03516,2.19127,4.18888,11.8793,4.03186,4.09069,4.39344,1.86422,6.06214,3.20828,15.1113,6.08961,9.82747,3.99069
S100A8,25.2353,2.93214,5.89019,13.5323,19.2543,4.25863,0.728008,1.94728,7.6415,3.23094,1.39239,8.70395,24.2864,2.70148,1.66097,8.92072,1.36359,8.10346,1.47653,1.67718,1.11458,8.62214,4.11339,1.50012,3.05358,7.74928,3.95916,6.24889,0.892478,6.6755,0.624958,2.57196,9.81197,4.16657,4.45391,2.67026,0.851331,2.73873,5.12697,17.4875
S100A9,44.7205,8.00427,99.9273,144.666,33.4213,20.9368,4.23023,4.33168,25.4582,19.3503,5.62935,23.5206,32.2987,5.66546,5.97427,23.8503,3.22469,17.4158,18.0234,6.68521,5.89935,9.66566,17.2866,2.92105,8.74674,19.3394,10.0128,11.5887,17.0543,26.4078,3.10974,8.24478,24.4573,18.7115,25.1018,16.7449,10.7709,10.2272,14.4536,33.6142
CCL2,5.23002,7.79541,2.46851,4.26515,16.6336,4.6678,14.1819,6.23675,1.40284,5.84341,3.7481,18.1844,11.339,20.0617,8.069,72.1554,1.68234,16.8335,2.56141,4.40872,10.3471,12.6433,4.7454,2.41314,8.14765,21.9758,3.76697,18.7589,5.19633,16.439,1.52207,8.59202,12.5623,4.32448,9.27673,6.55947,17.8818,14.428,10.3946,18.7081
CCL4,1.2672,4.57119,0.700303,3.46485,3.18284,2.67085,1.16018,0.590694,0.30519,4.12219,0.105706,11.3149,3.7925,9.7043,4.63869,9.01391,1.50178,3.97248,3.38365,0.726985,1.17034,7.57343,1.27985,3.33404,5.5743,21.4174,1.68344,2.71519,1.25026,8.80214,0.567252,5.65662,2.87866,1.09584,1.46055,1.23855,0.499416,2.21425,2.04953,4.00913
CCL5,3.8003,5.73205,1.13209,6.57991,12.85,7.18469,1.93588,0.739487,1.1799,3.84091,0.827633,11.5078,4.23056,7.70126,10.0522,15.435,2.07694,11.5337,3.75925,0.856498,5.09617,7.03193,4.38387,2.15284,7.55866,39.5503,1.58071,11.8164,1.9569,5.5061,0.60497,3.22217,6.51117,3.03106,2.43176,2.88817,1.49508,2.68848,3.18703,16.0859
CCL18,0.634,0.609515,0,1.78898,16.6098,2.68361,0.171065,0.551986,0.224079,29.5739,0.0417911,0.150036,0.148227,1.25824,4.38724,2.24289,0.0271778,7.66916,0.17265,0.0753307,0.21873,0.604559,0.0152974,0.0517171,1.21722,6.97131,0.23822,1.28711,0.126493,2.2132,0.0911075,2.87698,1.17688,0.654439,0.861202,0.362951,0,1.37623,0.436826,1.65495
CCL21,1.22583,7.46379,0.0671497,0.631854,0.767243,1.86916,0.18237,0.205963,0,0.0720845,0.0467806,2.62001,0.995544,27.1372,4.29616,6.33578,0.12169,10.4128,0.374812,0.134919,3.20339,1.80463,0.194069,1.49232,2.60079,26.5471,0.156441,2.69619,0.245431,0.993775,0.237965,1.65732,1.84017,0.82877,0.134292,0.666723,0.0736728,0.256756,0,3.6007
CCL22,0.0621068,0.0398055,0,0.0588623,0.0109418,0,0,0,0,0.0925212,0.00500362,0.208379,0.0532413,0.30401,0.286983,0.910304,0,0.0798454,0.0451008,0,0.065471,0.116927,0.0146524,0.0165121,0.0920445,0.28492,0,0.0270358,0,0.0359302,0,0.0120863,0.0357859,0.0569858,0.0123118,0.0334276,0,0.0253499,0.0358635,0.334894
CXCL6,0,0.028459,0.154049,0.224446,0.211217,0.0891028,0.20919,0.0472502,0.0076725,0,0.193176,0.0821963,0.406026,0,0.0293112,0.0520658,0.148892,0,0,0.402377,0.196596,0.0875778,0.471407,0.0354161,0.0350972,0.104463,0.0978805,0.0386586,0.129934,0.37248,0.101385,0.259233,1.31764,0.217291,1.83968,0.124275,1.35211,0.942444,0.461531,0.127698
CXCL5,0.00826334,0.0158884,0.245113,0.383751,0.550298,1.27783,0.0560587,0.0296769,0.0128505,0.00923249,0.161773,0.0688344,3.08145,0.0130014,0.0245464,0.0436019,0,0.0147094,0,0.00864015,0.0705587,0.180019,0.0657958,0.0593176,0.0734794,0.131222,0.0109292,0.103597,0.145083,1.9146,0.0718416,0.1592,0.160695,0.147849,1.14257,0.176123,0,0,0.257669,0.0534694
XCL1/2,26.2979,12.8699,0.204897,0.932905,11.9007,9.68475,0.765153,0.530265,0.0382687,0.843159,0.297383,1.52033,3.18542,1.53581,5.21439,4.44363,0.391949,1.53316,0.947111,0.188689,0.778235,1.31046,14.3079,6.97757,5.84982,4.94988,0.965563,3.88211,0.979326,0.800797,0.181528,0.861997,1.53136,0.903165,4.74162,5.07011,0.0562003,0.301327,3.12619,2.09655
CX3CL1,0.493105,0.431851,1.46585,1.42124,0.779189,2.21875,0.103107,0.0768213,0.338774,0.867916,0.168975,0.671707,0.768707,1.9954,0.780043,2.90485,0.79205,1.55112,0.610705,0.384927,0.78186,0.664929,0.112948,0.236385,5.15364,2.32414,0.154113,0.460478,1.33126,1.39583,0.0533881,0.283938,0.643665,0.450897,0.539304,0.225774,0.0983458,0.0930524,0.236961,0.595529
SELP,0.38644,1.0591,0.252129,1.5798,0.429832,0.813797,0.337484,0.821667,0.21527,0.637978,0.00836421,1.23118,0.711999,1.34762,2.06455,3.32744,0.159558,1.30905,0.82303,0.0422154,1.96451,2.8295,0.453127,0.921224,1.07192,3.27901,0.251741,1.40101,0.237977,0.825853,0.141318,1.03039,1.7722,0.635062,0.174936,0.57555,0.0493967,0.233066,0.0749382,2.85508
SFRP1,0.463578,3.2751,0.504623,0.701364,0.0438332,3.47083,0.378689,1.93983,0.244716,0.494189,0.885046,2.82095,0.0109377,0.250935,5.36929,10.5249,0.200546,3.25162,0.894109,0.155643,1.68262,3.90858,2.57592,2.28719,0.226912,0.877996,5.85289,0.829791,0.388293,0.974343,0.463877,1.52703,2.28272,3.93355,0.519769,1.3556,0.247683,0.378868,0.677827,5.31477
SFRP4,4.38396,32.4705,0.868965,14.2105,1.75145,19.0812,1.03159,7.24715,0.838813,2.74398,0.0083213,7.88691,3.18756,61.1442,17.7697,147.326,5.71099,54.2692,33.5898,2.03994,28.6849,83.6902,0.938156,26.3793,15.0167,18.5647,3.66187,4.55466,0.312316,68.9522,2.46717,47.4163,18.3229,54.7616,9.9714,56.2646,9.58293,19.4297,7.54483,47.3962
SLC16A1,11.2774,3.49373,5.66166,1.8532,4.71369,1.99324,4.03931,3.99661,0.866276,1.27863,8.56719,5.90291,14.8473,7.59289,6.87777,5.17208,6.01342,6.52291,3.90071,2.85677,5.76676,6.25575,12.9965,4.273,4.81186,3.75502,12.4372,15.9004,3.93873,3.21113,5.66661,4.46005,8.30758,3.69777,4.37762,2.91864,6.28954,3.17039,12.9553,7.93536
SOX2,0.04808,0.662532,0,0.0455683,0.0254119,0.0180901,0.135907,0.019186,0.0249234,0.0179063,0,0.183567,0.0206084,0.025216,0.083313,0.479204,1.30992,2.06834,0.139659,0.0670299,0.471365,0.620702,0.00850735,0.00958716,5.58649,0.576877,0.021197,0.0753473,0.267317,0.041723,0.0760015,0,0.415556,0.441156,0.0857804,0.139741,0.137257,0.38268,0,0.233333
SOX11,0.532195,0.404154,0.0349101,1.11899,0.0248191,0.0302882,11.1536,2.59661,0.330355,0.234847,1.07659,0.15833,0.0172523,0.0738833,0.0597816,0.350036,0.233378,0.214945,0.199731,0.505025,0.403088,0.223725,0.0379835,0.00267529,0.18691,0,4.85623,5.15477,0.0431863,0.331819,2.79241,1.35508,0.446448,0.412399,0.542571,0.229635,1.16436,0.303931,1.47976,0.506421
SPIB,0.0752153,0.0632717,0.0807302,0.191581,0.637302,0.323679,0.027905,0.0675319,0.0328975,0.0367661,0.0988489,0.132163,0.120897,0.377216,1.06477,1.17409,0.0502449,0.179914,0.0204825,0.014746,0.316663,0.0834464,0.052403,0.0421817,0.179748,1.64731,0.0279789,0.375716,0.0165073,0.100965,0.0594475,0.123502,0.231593,0.0970502,0.13,0.0318803,0.0322082,0.0259034,0.0610776,0.532322
TRIM21,12.6915,7.96087,5.18084,8.3509,11.068,6.24686,9.20097,5.08105,9.11612,8.42662,4.27684,12.0236,12.6411,7.9301,12.2139,9.77061,5.52016,12.62,13.9491,9.00633,10.531,8.20059,9.76304,10.7222,10.9063,14.2951,6.7625,10.4499,6.63921,6.11382,15.2601,12.1892,10.5736,4.59596,6.15261,5.64389,9.28346,6.4583,10.6596,11.5863
STAT3,27.75,33.1371,17.3428,21.9703,28.02,40.0122,21.5078,26.1623,17.9858,27.457,26.488,40.1005,25.2379,35.4038,25.3833,42.8236,16.1803,34.3215,22.1604,18.4726,21.0744,29.6671,20.6696,18.9012,28.5597,31.6804,23.4632,35.911,11.8175,22.4719,12.77,20.8925,29.0703,30.5625,26.2932,30.9189,17.5681,20.7962,24.802,33.18
STC1,0.209378,1.00646,2.35658,1.79057,0.872437,3.64946,1.14377,0.565426,0.484626,0.391704,2.36904,2.92042,1.84708,1.47095,0.730441,5.34411,0.321447,2.79966,0.487963,2.81039,0.388056,2.17263,3.38857,0.413616,2.66719,0.829946,1.98034,1.75888,0.337691,1.02996,3.48288,3.26631,1.26255,1.2398,2.92763,0.773651,13.5614,18.2002,0.687471,1.64626
SYK,12.24,4.67645,18.8255,7.59089,16.5468,7.34405,24.422,15.4345,8.97055,11.2409,2.61375,7.22539,12.167,7.8844,9.55169,7.81487,15.2234,7.76134,16.83,11.5175,6.68609,5.7298,7.20894,4.92521,7.51027,17.073,12.42,30.725,9.16793,6.90507,13.5492,9.48046,8.03444,3.22777,3.92566,3.43244,10.7937,13.3663,11.723,7.25633
MAP3K7,7.42022,6.23995,7.46445,7.82684,9.33891,7.32942,5.74408,6.5908,6.85714,6.17911,8.63178,6.99247,6.84035,7.07082,5.58053,5.25898,3.94469,5.41138,7.57786,7.32336,5.17596,5.63332,6.5608,6.59675,6.32186,6.231,12.8365,15.2487,3.57611,4.28393,9.16329,8.29145,6.5548,7.11902,4.23545,4.73427,4.58673,4.84459,6.72764,6.06907
TAPBP,33.662,18.8584,54.9086,30.8846,80.3141,83.9912,19.2374,9.97077,19.6144,20.5776,23.2588,30.3332,20.0838,28.8211,34.0042,41.8681,19.9124,32.3701,19.7105,29.1608,33.6668,20.8354,30.6841,15.0709,49.7549,47.2575,14.8625,29.1776,53.3872,38.0205,12.7,13.1372,28.4661,17.4304,23.0816,13.6272,13.8297,13.2103,26.1224,19.8172
TCF3,4.27289,4.93326,11.5683,6.9195,5.6049,7.1451,11.8139,4.02418,8.86838,6.37153,9.69924,5.07498,3.71957,5.84485,9.81869,10.0447,6.26562,5.39892,3.35948,8.11029,5.39164,3.45296,9.3303,7.10715,7.66076,7.13497,10.866,12.272,4.29022,5.56192,5.25363,3.52788,6.20315,4.34475,7.30522,3.45182,9.56993,7.49039,10.8315,5.04522
TFRC,11.7228,14.7264,11.9068,11.7175,42.7407,24.5665,12.5341,44.5778,40.1921,30.521,30.3091,31.9699,94.5565,15.6183,54.1062,26.0016,42.4605,19.424,10.5047,14.6446,10.1517,15.9375,18.2269,22.6152,39.5587,32.8626,21.5406,31.0536,16.7959,16.5385,23.593,20.4052,30.6305,13.2267,19.6155,13.9569,34.4347,15.818,22.214,15.2411
THBS1,27.4181,201.695,14.3919,84.1007,62.4684,286.02,49.1034,68.709,17.7968,57.6773,24.2537,128.592,63.2915,396.811,54.9649,499.915,36.3644,349.389,109.827,51.212,82.4788,198.974,30.7069,154.441,119.768,155.775,29.5495,120.803,25.3836,410.562,19.9644,235.745,143.376,204.844,139.911,232.751,89.499,147.07,96.3776,220.637
ICAM5,8.69123,3.10322,4.81574,1.97324,0.855724,1.37424,1.67879,0.287824,1.75413,3.13779,2.9562,1.53938,0.434143,1.85923,0.672408,0.82776,8.04054,5.85972,0.941698,2.96322,1.35893,1.04013,0.116764,0.113223,0.84608,0.287029,0.338291,0.769595,5.99514,3.57573,0.925873,0.439016,0.643303,0.218257,2.66499,1.3728,1.43699,0.746973,0.68236,0.455135
TLR1,5.96298,7.06776,0.831195,9.75131,14.7346,6.07969,3.12653,4.64744,4.42614,8.93765,1.27072,20.803,16.6475,7.29131,14.5105,9.54765,3.36968,9.91959,7.17674,4.04062,10.0393,10.4352,3.96369,11.646,4.62777,20.7798,4.96146,9.02837,7.1471,14.1723,4.76553,11.2364,20.1378,7.93828,7.59905,7.47055,8.47343,4.63688,15.249,13.0158
TLR3,4.12828,3.1227,1.73862,3.17492,4.25548,1.93624,2.07915,2.91006,2.60942,3.26786,2.18803,6.91084,2.20192,1.66505,3.52376,2.83017,1.76361,4.45238,7.40232,3.03315,3.63837,4.94932,4.10628,3.7249,3.08531,3.7398,2.10644,2.85475,4.05247,3.92602,3.49,5.65748,4.97176,1.82527,1.43942,3.46587,2.98947,3.15072,3.53172,3.98561
TLR5,1.64253,2.49253,2.47491,4.15703,2.51153,3.57581,1.28029,1.66094,4.08451,4.0688,0.23593,3.39622,2.50708,1.57271,1.62381,1.44448,2.35343,2.55547,6.55839,5.13869,2.49189,2.80812,1.45086,3.53162,1.27309,3.01208,1.38574,1.43796,3.85276,3.68652,1.1727,2.26588,3.04739,2.49352,2.96531,5.47499,1.18601,1.42479,1.83307,2.53285
TPSAB1/B2,10.8348,44.0734,0.271816,19.3064,1.9006,36.1907,2.06701,13.6281,3.7073,77.8857,4.02033,11.6584,0.327211,15.6565,12.0445,58.2423,0.429439,35.6534,17.8272,0.770197,9.86025,15.1179,0.120858,1.41005,9.03911,17.9077,0.487123,1.34325,1.51668,18.3484,0.22229,9.12472,6.25075,14.6541,3.33328,9.48484,0.412921,7.76109,1.17165,16.5414
TNFRSF4,0.420826,0.55067,0.656991,1.13005,1.09357,0.950016,0.297384,0.111952,0.327217,0.600788,0.177995,0.839863,0.195409,2.07832,1.98796,3.90645,0.249882,1.05083,0.254663,0.501128,1.74121,0.509322,0.589487,0.272716,1.76709,1.52218,0.347868,1.05335,0.389954,0.692331,0.434235,0.573263,1.5155,0.595279,0.865509,0.351075,0.340384,0.322063,0.789767,0.605117
UBA7,13.2191,15.4689,21.6322,21.7572,26.9754,25.3629,17.31,12.9121,10.8531,15.7086,11.9427,32.3706,9.49465,20.5585,25.2519,24.7288,20.4885,22.8223,29.5743,25.9785,19.8324,15.1494,22.8077,18.7476,21.1609,27.4086,9.82436,17.142,32.4798,17.3682,21.1266,20.8125,19.7763,8.4088,8.77313,6.93488,13.4127,15.4676,17.2823,19.3516
VEGFB,14.8137,12.5507,26.6867,18.1271,7.47836,13.2798,7.31408,3.99287,15.4391,17.1334,11.9976,10.5682,3.8533,9.94213,15.8099,23.4313,15.6375,15.8404,7.35142,15.6663,10.7047,9.19838,9.21904,9.59421,12.8947,10.0966,10.5719,9.01443,8.01775,13.7116,10.5549,8.28337,8.53005,9.82661,12.3547,9.37847,9.35059,10.1944,12.5604,9.6424
WNT2,0.532668,0.443244,0.405317,1.05211,0.645869,0.298099,0.121467,0.155399,11.6249,5.32127,0.0778949,0.0419481,0.834601,5.57787,0.132966,2.67287,0.050657,0.828674,0.253542,0.472712,0.250562,0.350333,0.413438,2.56788,2.24889,0.289069,0.162808,1.57481,0.180758,0.419513,2.28898,1.38765,0.649956,0.0985709,2.36388,1.2923,0.889382,0.4933,0.856854,0.137579
WNT5A,1.55659,1.68746,1.05363,4.68114,1.40234,1.07816,0.666918,3.05252,3.85531,6.99308,0.966854,1.97501,1.10927,0.276166,1.71576,2.61096,1.0317,0.850148,1.32798,2.66898,1.46907,0.990268,2.06424,4.71598,4.52995,1.04291,0.595672,1.24953,0.661739,1.17603,1.51418,0.76736,1.16778,1.18354,5.85286,1.15476,2.34458,1.2021,2.08134,0.594293
ADAM12,6.98408,20.5984,0.369719,19.0315,4.70505,2.86896,3.72213,4.90506,2.86052,10.0431,1.88884,1.13516,1.73524,10.6272,11.4465,16.7526,2.02416,10.5461,5.4416,7.2193,5.38266,3.8397,2.96824,1.943,8.35072,5.50918,3.6182,0.958199,1.18464,10.0012,3.30295,5.52077,10.6902,9.4072,16.5781,10.5598,12.4593,8.23451,21.8034,5.06937
SLC7A5,0.946475,2.14482,6.13481,2.11843,1.27964,2.29406,2.54758,2.691,0.795079,1.95445,1.35416,5.21362,2.70034,11.4446,6.40436,10.7797,4.34612,5.72006,0.888291,5.78317,1.32691,2.25352,1.94012,1.22083,3.99021,9.39381,0.623115,4.26432,1.41695,3.87751,0.734702,1.51709,1.8132,2.09355,1.64339,1.13801,1.42576,1.99843,2.08613,2.27612
FZD9,0.0172194,0,0.0268829,0.0326397,0.0682577,0.0194364,0.146021,0.0206139,0.0937239,0.0577169,0.337109,0.0358598,0.0221421,0.0135463,0.0511505,0.0151432,0.0324786,0.015326,0.0187567,0.0360092,0.0653478,0.0277874,0.164529,0.0206013,0.153119,0,0.0227746,0.0269849,0.075582,0.0336211,0.163315,0.0301588,0,0,0.0307215,0,0,0,0.0596599,0.0278553
IFITM1,159.875,112.887,450.575,243.101,171.095,208.715,429.975,251.995,213.474,284.974,249.684,312.789,309.587,156.208,143.578,212.618,245.869,484.174,539.87,377.459,202.364,144.284,187.277,107.73,405.877,421.247,116.961,386.381,179.977,226.525,357.151,258.24,223.134,139.559,81.9946,106.905,216.893,301.569,332.394,181.514
OASL,1.8773,0.995943,1.77816,1.69786,4.09289,1.6151,1.52401,0.801655,1.99376,2.77532,0.5146,2.48517,1.49402,0.805966,1.92119,2.28012,3.08029,7.06557,3.85288,0.460804,2.82369,1.01135,0.732198,0.695029,1.35888,4.32634,1.77515,7.0365,0.683328,1.68,1.55161,1.47358,2.53771,0.756224,0.602471,1.00364,0.284301,0.173458,2.59279,1.22215
SOCS1,0.963884,1.48697,0.839895,1.18971,0.710853,0.834967,0.475219,1.35516,0.522892,0.851528,0.455095,1.09702,0.259418,1.48129,0.982155,1.55734,0.606013,2.13477,0.293005,0.140628,0.808151,0.434077,0.499755,0.442504,0.837174,1.49506,0.296475,1.13289,0.255817,0.583565,0.248035,0.274821,0.435917,0.370217,0.299945,0.282318,0.191976,0.144103,0.582482,1.12411
TNKS,7.28963,6.47616,4.85301,4.7641,3.8052,4.79791,7.558,7.5666,5.56774,5.84927,5.94192,7.18415,6.02224,5.25474,4.7023,5.23161,9.51059,6.4363,7.75495,8.38899,7.14757,6.5846,7.02809,7.06125,6.01405,5.84583,9.49874,7.5106,9.13694,7.83033,9.34193,7.73796,7.42,6.25052,8.53412,8.64434,10.3573,11.8348,5.43542,5.40381
RIPK1,10.488,10.8876,5.83055,10.1281,13.9566,9.96544,5.46433,6.5963,8.51996,10.1236,7.73799,10.2408,9.36209,10.1613,9.75386,10.6189,4.27943,8.10766,11.7405,8.9784,8.98211,10.6483,9.2138,8.80031,6.3881,11.636,7.84117,11.1861,14.2141,9.97454,8.77879,10.0658,12.2488,8.95522,9.41206,9.80941,6.67039,6.60197,11.6405,14.1802
