EOC1005_Pre_Extra,EOC136_Pre,EOC136_Post,EOC3_Pre,EOC3_Post,EOC372_Pre,EOC372_Post,EOC443_Pre,EOC443_Post,EOC443_Pre_Backup,EOC443_Post_Backup,EOC540_Pre_Extra,EOC87_Pre_Backup,EOC87_Post_Backup,EOC87_Pre,EOC87_Post,EOC1129_Pre_Backup,EOC1129_Post_Backup,EOC1129_Pre,EOC1129_Post,EOC1129_Pre_Extra,EOC1129_Post_Extra,EOC183_Pre,EOC183_Post,EOC183_Pre_Backup,EOC183_Post_Backup,EOC183_Pre_Extra,EOC183_Post_Extra,EOC218_Pre,EOC218_Post,EOC218_Post_Extra,EOC26_Pre,EOC26_Post,EOC26_Pre_Extra,EOC26_Pre_Backup,EOC26_Post_Backup,EOC26_Post_Extra,EOC376_Pre,EOC376_Post,EOC423_Pre,EOC423_Post,EOC568_Pre_Extra,EOC568_Post,EOC568_Pre,EOC587_Pre,EOC587_Post,EOC587_Pre_Extra,EOC649_Pre_Backup,EOC649_Pre,EOC649_Post,EOC649_Post_Backup,EOC677_Pre,EOC677_Post,EOC883_Pre,EOC883_Post,EOC883_Pre_Extra,EOC933_Pre_Extra,EOC933_Pre,EOC933_Post,EOC868_Pre,EOC868_Post_Extra,EOC868_Post,EOC1133_Pre,EOC1133_Post,EOC167_Pre,EOC167_Pre_Extra,EOC167_Post,EOC740_Pre,EOC740_Post_Extra,EOC740_Post,EOC551_Pre,EOC551_Post,EOC60_Pre,EOC60_Post
ANGPT1,4.74703765575666,13.4826810685219,6.60606027154039,6.51009077527613,5.77476083788197,3.03934176267547,9.80981924047983,10.1272885141573,5.77695596289972,4.67029743621878,7.42064005489223,4.04313642019068,8.06421871404658,6.62751177433599,6.76036520091132,8.87140755161618,3.07315777316569,3.78193473948489,6.25148578239788,26.2290429921602,6.14513121301557,6.51043465862067,1.15404752501468,15.8029780453625,5.23029539222408,23.9482275878779,3.11075634320993,13.307157541995,8.90174261489551,3.34976272145474,12.7024726509268,4.38771246027305,19.6890871895171,5.59876189320843,1.72401066090911,9.81915627944824,6.4202665073262,2.81535714007569,6.32069201432667,4.83875738005047,1.76942221389824,10.5475524561792,21.4202889084116,3.04209604587313,7.36143476824881,3.03308285638682,8.51516902448643,3.94958688407646,1.86265991646711,13.4104651733049,20.9988395801464,3.38896187356313,36.5274030518533,0.46279082213229,0.663366711912781,19.0202542932503,1.38506966512965,0.601638662973295,47.4163587308156,2.07311412723849,10.4581277727438,37.0352727990255,1.14187613756476,10.7481051828794,6.79682354350962,11.864883939076,0.436515349314197,1.45824358173069,23.3837709683074,1.61011840467093,3.33410659723576,6.56124893999613,1.71999204228931,1.83367700179546
ANGPT2,17.8926803947751,13.6980593603513,10.7007257291067,20.3159729366376,6.83789672435397,11.1903037625779,23.1231453525596,26.218752771346,23.9331032748703,16.2692990501143,10.1511786032292,24.753896450147,34.7836633865876,25.2879527276082,39.5606556201477,34.8899481646296,5.60399358636097,5.50988768080126,21.9467054062904,18.9838358973802,23.6214581309558,9.69200453704162,6.19673344953535,14.8951473916927,12.1723238219033,26.7543601944832,6.7126847406109,8.76582599988559,33.8176754616131,7.86878224190783,21.7806941022817,12.9876288824082,22.5664743157355,7.50671985681577,11.3292129145456,40.4000031667129,9.37791737025175,13.6618909639462,8.7012123833588,21.2160900509905,9.26618475173028,19.4894407589243,28.9891898774452,16.8612300216999,104.914077734153,5.8442328208429,24.1850954541626,16.9685955019581,22.0339038899158,25.5659402902844,17.6849602089046,20.7669468192027,15.2604924795984,5.92813005493267,2.73638768664022,16.1446967225039,11.2373576604858,5.48694460631645,18.8127287291321,8.54630721841174,27.642267132664,30.5262539894223,5.13844261904144,11.9926226251075,93.8233521946068,38.9363438127272,3.18656204999364,14.4991076126365,13.0514070520786,6.41222592737371,5.55684432872627,9.99661984725826,7.02953269457371,7.05965645691253
ANGPTL4,4.01672417025564,3.01529608561192,2.94815912944778,6.65974803447788,6.42713967730797,2.65942404234103,2.36025726086733,20.4907820082366,92.7804520854718,8.20042836218697,12.6568492711149,3.21800653851911,20.4293540755847,4.84137384933764,35.0815659191324,4.25487172739385,14.7782734091938,15.6167822432178,1.46311369375269,6.16539257584643,82.1955700977921,6.09800893364017,8.40447654086779,26.2598422413363,23.3936848452204,42.1688694444656,13.834679526381,2.53469667466571,62.9831839285069,6.73112697801754,7.63555835249619,16.0414767547583,60.7484315748812,7.69438785323616,34.3746615450652,11.8994859996703,6.16778411658865,9.98710901268955,9.76834220395941,12.4183493599897,1.11752981930415,36.099759587553,33.4467639659275,2.6647818076253,25.1379365049089,10.1349353981706,1.25964038823764,9.94710770804441,62.7398376741727,54.6458527382797,2.09988395801464,6.06445808953403,0.90794692098297,12.6496158049493,13.4055356365708,2.14800686007563,4.54720984401055,9.36149759586447,77.321498267219,31.0544034570011,41.7914988251997,12.8091920959036,81.6002255228974,13.1994274175712,73.7047545058183,30.9012641830998,26.2345724937832,40.9558125954647,10.5136334586188,1.80785224384105,16.2106562141463,8.26345974990079,3.58954860999508,3.91184427049698
ANLN,46.6357325741369,103.553882711586,33.1940879760046,141.164209742051,18.0249857115479,35.159658118223,8.55593257064406,72.9282875509285,3.26937617680588,33.4814280990896,3.9512498993582,38.6573349563129,61.9869611819714,143.831106591973,178.857563278431,86.8632063147455,76.4673963558287,72.2479946784355,72.5349697872548,3.37877446246951,42.2344567183556,19.884811740131,56.1720088806059,9.95251383282401,30.3357132748996,9.61004317330575,58.8860718302371,2.78112551803599,35.0254495852421,30.1794660282007,8.90228692710385,133.175848594208,35.7571928269391,77.8196625156568,89.226347674806,3.4949539299731,51.4342698845346,55.714436035182,12.0394133606222,75.6944074068035,17.7407858814535,37.5116366879864,20.4031243513082,158.424815784308,60.4728233925032,56.0750440278344,55.4745626979856,65.5338860765279,55.5163516566539,8.13950693673851,2.00145189748271,123.327635098087,18.8922801635303,51.5460825222584,99.2838845496129,43.9994953596137,99.4375486003457,115.105509000051,3.7862095555486,59.9933843351874,8.36650221819503,3.86364218110135,53.4485869006276,12.9731515189843,40.0468843183587,57.5972530460207,115.240052218948,90.640254630146,5.11180109539744,19.6603931517714,56.3732276383196,14.979455127161,47.4493456883725,69.5269196514112
APC,91.1326899407351,55.1368427083322,78.344599088103,125.225711637064,155.894380443575,62.5828099314539,74.6431358749292,64.8973182335793,62.6894946523458,58.6089438826893,88.5336969319609,105.987933300713,94.512643328626,130.670090302511,142.857923072756,159.259848756352,143.579738902168,69.7375724806739,169.854198811108,75.7611799574349,87.0264246929951,59.3893043971912,41.6711508488997,65.1620669189626,34.7576902883255,73.7666913982949,45.1332543128879,91.4955091313359,86.4676807768493,42.9780877469665,69.0718942209678,46.4746503792121,79.726254530951,56.9259589141862,36.6264305715587,80.2175140117636,63.5894935528993,60.8117142256349,59.1299369825106,41.992293067431,65.096111974467,104.949531132219,82.3903291253707,144.794338927605,104.150669684113,114.369416974976,91.298735339464,39.7591746330363,55.9479435885182,63.4307831325569,57.7139981585587,149.904230843398,224.821626049552,198.096509530817,274.191574257283,150.914804556281,27.5968597429606,65.1454344267484,91.6972626734425,49.7970475053001,101.997504983583,142.571877241361,38.999461929135,64.3754931479829,92.9805460752116,78.0979702318925,135.930879776441,49.3302971648324,61.9216756804172,36.5242648638511,40.3925098101895,70.100136080619,42.2145872987964,41.8995194910263
APH1B,14.1889477183056,12.0611843424477,21.9474068525557,46.2066787785404,52.8426859935058,8.28911389820582,20.1359447567744,5.43271453820682,53.8018700940386,11.6647804510253,30.003800048785,13.0370521304108,20.1067853270228,15.8872268065643,17.4434114443267,21.3381817128802,18.619720625651,16.5948688137742,18.1780792254123,33.8225773511123,23.5859371412852,18.942124368747,18.4898483899091,27.5039064704393,11.3164573031757,26.7928003671764,19.7014568403295,61.9592520473841,22.3214550996626,24.6491973842896,22.0621893410835,25.0275118733975,26.6400785618425,19.8615296211584,16.9234515897404,52.2578825719788,25.3203768996797,10.8465338238705,18.8526268306107,15.7682583154092,32.8740021845305,36.3765982346968,40.8361653072371,40.4669520520798,23.2839455262388,16.4970116335186,16.9295668179138,13.0190086178817,6.33758678895517,37.8289859835204,50.1347294975996,8.84187797087524,57.8641556949531,29.4643490090891,49.254978359524,32.0122312695142,9.72162104581566,24.4505952632347,29.6980812013343,14.3425650843643,20.7111942166102,33.658936838964,18.2700182010362,19.9122790756503,17.1008080354702,14.0801629023845,11.8295659664147,11.9575973701916,43.2509128142493,27.0612882749956,21.6525313498644,18.5076738967815,13.6477629442521,12.4995648955724
API5,117.632636414629,273.659657598465,237.490596538849,226.506261801849,168.265416213431,59.647082092506,91.8287590556194,124.066665704049,92.0821387273191,94.3926312813233,108.932426087184,80.4501634629778,175.531160675747,200.752502043894,200.084553600634,153.366851413911,106.611458630851,85.3217518382065,96.6985141234736,62.3157475603913,87.3461136000306,56.00152165628,117.436879665081,69.9029603325714,67.5659068395492,69.7304732655065,97.1429173844504,88.0807094446335,74.6583337902543,130.577543066519,88.9173085564879,83.8228588410563,74.4241029725261,89.2986882967042,75.504630169611,80.4671535781902,67.5210050658126,140.412232943985,102.252926656012,117.619025545842,70.8700160408718,95.0663914291847,90.9464780468871,112.416060857963,90.3547956369502,182.20690427514,143.750161105679,103.771738354216,80.7531219882998,100.291633929769,92.6245689605521,109.542459356751,182.148120763353,138.220192210177,239.337181602199,115.923079900211,234.207440356452,126.632905782619,92.3184376786497,116.686709447424,69.8438886156183,76.9943829242899,112.07953473328,71.0506321562975,62.6939003653327,78.6236296469148,109.609004212795,105.451843010296,81.825071434837,96.3246273671557,99.9082287240647,58.9583925976067,79.7926743096824,93.7925786418378
APLNR,28.48222593454,7.96899679768864,7.47958890248788,4.41488914645163,2.00546087675399,19.7211834828147,20.2834608355786,16.1505155021692,5.04690108846734,33.3060178667433,8.64135140591346,17.7402924559387,2.68807290468219,15.9342304361695,7.87318251793375,12.2753049335313,0.135580489992604,0.195617314111287,8.64567182672047,5.74739985883989,38.6113157719534,7.45312203000465,4.76671803810412,22.9311298445472,19.1619003915118,21.7955779170574,7.77689085802482,1.61938954214754,33.1019574624255,9.5436636026352,30.5070465051345,5.1599498532811,41.9322595809584,32.7167873759554,4.60908972610394,3.20370776914201,10.3878469332019,5.98633833995041,10.1240521441596,6.25993087628907,1.02440233436214,92.7409467931767,21.4202889084116,5.58896715404599,11.3420624577463,8.9512933078733,8.01131286919138,14.6280995706535,14.833133237232,19.4702743024186,3.2482579975539,6.87984741249659,1.88573591281078,0.0661129745903271,0,2.42516903556926,0.966935426599945,1.25140841898445,64.9571576873806,6.85396915535991,47.5332160337649,28.0897228842233,2.02024239722997,12.8977262194553,22.1032701634933,30.1503221616393,0,6.06212688976614,12.3625827909966,1.58187071336091,3.48739885457993,23.366712026873,8.52517794873833,6.96797260682275
APOE,129.421982680575,11.5012007836912,117.762578559608,18.0336997338109,76.0383780619856,581.654029832017,1608.47844426138,532.642229724191,7663.76691511207,358.998966775635,4106.7299766988,137.301612310149,49.3530185299651,53.3491196019245,74.4752989417267,22.4444483620026,45.2838836575298,80.7899507279617,20.0845607051506,145.217636433355,1204.19707082336,406.91689565397,238.411165874229,522.910456513781,372.872513325647,452.671473635394,293.584451724523,250.371704864202,597.311402696983,3951.77196526335,3010.34527065026,187.758991600004,598.07622975185,277.435854708149,140.559644700651,82.9219426480523,749.259528970152,208.573511072134,386.574618088343,95.7261862109285,60.8588114096054,1619.14619555001,567.607739468286,46.5983084236071,39.4791020163862,161.493167694937,84.2951347808627,458.766458734837,325.829193192735,742.308689887051,251.198618477501,106.178978399531,7.92707504088977,188.466052898826,303.766673496728,31.1460994710966,66.5878774858557,118.859734257004,1633.0099291654,110.763526226742,332.076315983947,69.3715213237386,277.256309863321,375.467141055254,417.270590983143,197.347563239821,249.599476737858,271.087481843735,1695.92158469218,256.037074033988,178.432187548617,194.671018078187,438.037103813463,440.754828664902
APOL6,193.27224741295,126.211679012042,145.442517052757,157.813579828246,334.428722833156,194.241569014623,258.116258887663,130.621353896886,204.066208161991,160.588067712988,239.098804885553,174.184918020868,120.049335923107,188.061522050484,195.104696106959,147.069641257368,232.475346840652,180.522178039033,200.003208258134,109.827586393468,198.065038403323,152.244010478514,205.947307235772,437.473504996193,210.78090430663,424.456386878568,274.265017593009,143.527199202946,229.834942489111,199.595295742529,214.288250537796,16.3924937515801,410.981406162794,144.035187252652,101.892548448832,149.950166233608,157.512942907267,72.2805901541537,85.6440086789718,53.632380750909,161.436495146979,125.961584450434,375.243971757271,99.6817053170987,252.797122856307,353.021253431169,270.772297855563,396.450754563853,269.858534239382,376.461160038844,110.375150543145,271.855896458986,267.634815477442,304.42821033026,546.78001229411,65.7567261358637,9.69548765590756,27.4347230315822,520.574234125779,245.008243078329,221.466235187515,136.376126716712,55.6005842368074,160.769025946017,170.92651847218,138.961821071266,239.734229843357,139.824727436805,511.723918166914,163.582380376305,53.0391210410838,196.032786726111,118.754233180671,94.6482945760091
