BB24_06_S10-016752C1,BB24_04_S10-016783A2,BB24_07_S10-017623A2,BB24_01_S10-018931A6,BB24_25_S11-011709,BB24_09_S11-012085C1,BB24_08_S11-003355A1,BB24_26_S12-011538,BB24_10_S12-003590C5,BB24_11_S12-008138A2,BB24_12_S13-003620D2,BB24_14_S13-008160A2,BB24_20_S13-019142C2,BB24_21_S13-021353A4,BB24_18_S13-009885J1,BB24_22_S14-012409D2,BB24_02_S14-002474B2,BB24_15_S16-023867D1,BB24_16_S16-007066C1,BB24_19_S17-018143A2,BB24_03_S21-024801A2,BB24_24_S21-028943A10,BB24_17_S21-032280A2,BB24_23_S22-009274B7
ATM,3533.07823393592,1112.33169335208,759.415588782377,643.535325491245,631.176661929107,653.654655246922,852.431051694728,871.47736384424,1062.50591787033,1143.09121418776,531.341891083042,877.811601462227,943.801987537194,1013.14687348068,815.93013916988,884.777113604003,997.333034253437,606.458406947079,926.973319226317,607.476650866266,572.502199140393,840.458280360737,954.564942581722,1141.6311022829
AXIN1,1141.66766068786,759.961842502958,1070.99933770926,813.8301887828,1152.00775359089,2059.79238841736,1363.67442234498,1062.95952846168,1118.37827113257,1118.97536578718,1404.391584535,1964.80930093373,928.837969614747,910.99090165878,850.568682813885,1565.18662282091,874.624519567805,1378.84250662934,964.20903395211,1197.99329371342,730.182889581603,755.890428548042,945.449042720778,872.883493515826
AXL,736.87671731144,3041.6004538469,5462.2083010803,4209.86827831808,2302.2499780575,1551.77961922015,5427.79014355621,5839.73899116205,6611.56180269881,3244.7874022988,8128.61482686177,1185.81567215073,5869.10160086833,5416.67017648565,1255.45477074158,7209.15902661298,4401.84161191439,1393.7758189755,5393.29931186221,1724.52445176121,1780.57887359766,4245.09735148665,6973.66339362226,3782.13098191713
B2M,39476.9420020982,21917.0541060484,20679.5565551224,9889.65011346852,14901.0658088998,17834.1957131826,18824.5190582586,13983.8023731105,49731.0504328352,29919.3273181866,29375.8777232221,43585.1427030119,28280.9250150018,11793.6064880971,25810.3334872691,14809.9206484587,13873.8946178606,20243.7641421555,14537.6069387332,9471.39356921693,18248.1032881374,17332.2334313896,46036.5965691766,23149.438332416
BAD,146.39284117254,177.938009259632,309.350173665762,234.827653591513,186.263322611247,257.47404855217,146.377049280913,301.701166689914,210.452530621117,242.364276425886,135.583792897052,272.070262441509,153.915612916598,229.550477858611,190.89686274918,271.674300442723,228.446702872188,192.473803572807,295.925943347091,175.767355834402,173.044450022661,250.571412778356,250.036110471611,282.949718173466
BAMBI,101.197735844104,879.171543287736,299.299084990701,97.6954742041027,1037.24836051287,51.1480433150775,79.6463356381438,259.668496408037,52.1475297114272,748.797092838185,355.44940300038,184.802442413101,96.1972580728737,817.247774575159,26.9410895008923,68.530454165732,545.661267431855,46.4591939658501,168.540603495694,71.694579353506,37.1964705656188,152.4309427735,105.483984105211,181.350012420059
BATF3,103.162740423602,38.5678443715458,55.8393815281159,16.1331975749894,14.1242329942178,31.2089755820812,89.3330521346748,61.6479164134189,164.823442123618,66.3185831016106,197.879049092995,37.2171585415272,129.331869186864,21.6330293269895,43.8754886157389,130.942117780952,46.9947503051358,59.7332493846644,28.4167296591577,27.7527403949055,21.024092058828,35.4976168102672,98.9726270616792,24.0343389954295
BAX,619.958944831359,290.135374704128,339.503439690945,376.441276749753,301.905480251405,361.503967159107,323.966851717315,287.690276595955,498.195149921671,531.754457232914,260.174305288938,337.521127462816,568.632681052987,312.477090278737,339.457727711243,417.301515544903,344.628168904329,246.399653711741,387.05545570232,376.974723697467,245.01153437788,347.66783522997,436.260921916612,351.775325296741
BBC3,48.1426121976808,30.6789671137296,70.3576207254261,45.7107264624701,33.5450533612672,18.205235756214,26.9075458236972,75.6588065073778,69.8404415778044,44.6143195410835,35.7281616417907,47.4839608978105,27.7903189988302,60.0917481305264,28.4805803295147,48.9503244040942,66.575896265609,22.3999685192491,69.5719933034551,34.6909254936319,33.1533759389211,32.3654741505377,36.4635994437765,28.4042188127803
BBS1,666.136552449542,1307.80054096242,1330.09406799972,1692.19316786556,1380.64377518479,992.618806707859,840.591731532302,1785.92145730995,1059.71230020722,1143.09121418776,540.50295817068,1234.58298334307,719.341718700489,1597.23866530939,690.461636637154,1516.23629841682,1817.13034513192,1163.1391060736,1863.74551074889,1088.52415104463,739.886316685678,1485.679668265,851.685501293924,1433.32058009107
BCAT1,396.930925058429,3331.73582855103,942.568760194597,750.193687237009,9791.62452324147,679.662134898657,6973.35957566937,462.359373100642,1787.91530439179,2843.25852642905,873.965800160727,1608.03791905288,4182.44300932394,975.889989639749,579.61829697634,1499.10368487539,1755.7760877891,708.502707979214,1517.84531869087,5283.04249795243,774.656930475278,1852.14035945335,6633.77055594992,1002.88741808201
