,Gene,Frequency,Mean_F,Median_padj,Freq_Percent
150,IFI6,34,3.309013859216983,0.30286681816376626,0.085
151,BATF3,33,4.580183153174254,0.21507581854671529,0.0825
152,OAS3,33,3.2073126143314448,0.30023793019319667,0.0825
153,ROBO4,32,4.900913107576638,0.15527010832111576,0.08
154,PTGS2,32,4.754243197067231,0.19248342725962356,0.08
155,SLC16A1,32,4.104513331507113,0.2171980271790407,0.08
156,FCGR2B,31,5.040595891978958,0.14716859801205506,0.0775
157,HLA-A,31,4.49765420751461,0.1958383639010203,0.0775
158,IFNGR1,31,4.330203388234477,0.2381769497959839,0.0775
159,MSH2,30,5.6826873221268945,0.1305427971963629,0.075
160,HLA-DPB1,30,5.465308198697619,0.13356416903712343,0.075
161,C1QB,30,4.95938633296405,0.14759033984070682,0.075
162,ANGPT1,30,4.889776713274039,0.16890178988622784,0.075
163,WNT2,30,3.8676196749270106,0.26408923182835764,0.075
164,LILRB2,29,5.371173004556217,0.11762254841419667,0.0725
165,RUNX3,29,2.6825668095827346,0.377782716520548,0.0725
166,TPSAB1/B2,28,4.810909698513427,0.1904435344506555,0.07
167,CCL14,28,4.3928552650386345,0.20821867757989332,0.07
168,TFRC,28,3.3358400336491103,0.32474993414616915,0.07
169,C5AR1,27,4.910124104733278,0.17188751855933643,0.0675
170,HLA-DMB,27,4.510611434457087,0.19561987878420467,0.0675
171,CCNA1,27,4.0084526624798045,0.21761425764244743,0.0675
172,GLI1,27,3.838599212594306,0.23727762865715113,0.0675
173,TPM1,27,3.463515742200089,0.3120747884655341,0.0675
174,TNFSF4,27,3.308214120678264,0.3050150404713048,0.0675
175,CXCL3,27,2.210065674790934,0.47343037269022814,0.0675
176,TGFBR2,26,5.769713393051729,0.11198124968873341,0.065
177,HLA-DRB1,26,4.700151486322975,0.18055857125441932,0.065
178,HLA-DPA1,25,4.57389744953473,0.18856062496573492,0.0625
179,CDKN1A,25,4.355964640883458,0.2134663046993353,0.0625
180,IL18R1,25,4.067248586637249,0.22224571544588223,0.0625
181,PTGER4,24,5.678220957118888,0.12658078263470335,0.06
182,CDH11,24,3.8778813406171326,0.24238645748595183,0.06
183,GNG4,24,2.6378513564216575,0.4129575287066294,0.06
184,IRF7,24,2.3356553819221983,0.40336402474247557,0.06
185,ITGAM,23,4.942314132528287,0.14727802867135575,0.0575
186,SELL,23,4.898364108793846,0.15722044801333862,0.0575
187,DTX4,23,3.377210139921491,0.27565820858000717,0.0575
188,CXCL2,23,2.0418384582386695,0.49824035311870885,0.0575
189,CCNE1,22,4.465932599368229,0.19595157628897308,0.055
190,TNFRSF10D,22,3.5042254691974226,0.3147446483846452,0.055
191,INHBA,22,2.952663011675204,0.37788659858379636,0.055
192,CLEC5A,22,2.388356843996336,0.45009869728581864,0.055
193,CYBB,21,4.8977392080388755,0.1383330870292564,0.0525
194,DPP4,21,4.204907002802403,0.20684827602704475,0.0525
195,CLEC4E,21,3.5810789943719126,0.28081373559893996,0.0525
196,ACVR1C,21,3.350641201852153,0.28552601051354976,0.0525
197,BRCA2,21,2.8172870858970067,0.37589915072419294,0.0525
198,PIK3CG,20,5.190576144909139,0.13227366661999218,0.05
199,FPR3,20,4.641020514470298,0.1654159495343992,0.05
200,HAVCR2,20,4.617880792932855,0.17045337518026382,0.05
201,IL2RG,20,4.54418988690301,0.17500092401751913,0.05
202,ALDOC,20,2.4629406632471658,0.4397417576195999,0.05
203,ADORA2A,19,4.680282941720196,0.1730004184870424,0.0475
204,CD86,19,4.592764394844411,0.17424659763716827,0.0475
205,IL2RB,19,4.4979185261315715,0.20534768541113207,0.0475
206,HMGA1,18,4.019809737992363,0.20668303157998408,0.045
207,MAP3K8,18,3.875014239832613,0.22865523326478765,0.045
208,FCGR3A/B,18,3.6423752635145066,0.23450658810778088,0.045
209,IDO1,18,2.805451357192514,0.3538584246941282,0.045
210,CCL20,18,2.721494610358117,0.37647209852570485,0.045
211,SLC7A5,18,2.64137596096855,0.37646981614644304,0.045
212,TBXAS1,17,5.2355966300542836,0.13661362636839008,0.0425
213,CD68,17,4.595291788248121,0.17022924037957893,0.0425
214,ERBB2,17,4.316761326988747,0.18730561023999837,0.0425
215,GZMA,17,4.3154388878941585,0.2051405740227943,0.0425
216,ESR1,17,2.8296347834175135,0.34768909362021366,0.0425
217,ANGPT2,17,2.7617880465239057,0.4007353008656975,0.0425
218,CD96,16,4.559491494119059,0.20125867912130319,0.04
219,GZMK,16,4.5508632171787795,0.18399305261512122,0.04
220,LCK,16,4.225993021426842,0.2157604033352411,0.04
221,FCGRT,16,4.121300854824289,0.22845744289247394,0.04
222,HLA-F,16,4.013448258860311,0.21914457488764427,0.04
223,PIK3R1,16,3.8380029101918853,0.2479445085434106,0.04
224,HLA-DQB1,16,3.531224546790554,0.26082193081308686,0.04
225,CCR2,15,3.9267460294274947,0.2381657881182066,0.0375
226,CXCL1,15,2.642598159555825,0.3642709724106058,0.0375
227,SOX11,15,2.0221565492318825,0.510846854620427,0.0375
228,CD247,14,3.849203550810223,0.2538432743310084,0.035
229,GZMB,14,3.387642247373884,0.2443841249468179,0.035
230,SNAI1,14,2.680849431708106,0.40052146572756037,0.035
231,TNFSF10,14,2.5170824997402104,0.3990174718027411,0.035
232,LILRB4,13,4.329495749234366,0.18743825684281928,0.0325
233,SELE,13,3.9577546253467846,0.2367631684167438,0.0325
234,BMP2,13,3.836124331445493,0.23520540604914303,0.0325
235,PSMB9,13,2.9339059244369814,0.3469353746637873,0.0325
236,COL6A3,13,2.6599971880405406,0.4146108247786533,0.0325
237,SERPINA1,13,1.6066941376289108,0.5571102173071887,0.0325
238,KLRB1,12,4.378509675143367,0.2085919693632623,0.03
239,CD44,12,4.0880111315055645,0.23185119993898196,0.03
240,CD1C,12,3.9384429526141025,0.2322785696146411,0.03
241,MAP3K5,12,3.1707083870420707,0.3371873026940415,0.03
242,LAMB3,12,3.094219293043291,0.315564343811754,0.03
243,LTBP1,12,2.0956779642614993,0.4899218596276764,0.03
244,PDK1,12,1.8634027588830557,0.515281682289684,0.03
245,PPARGC1B,12,1.5117946993653686,0.5648904236804044,0.03
246,DUSP2,12,1.1802123672348375,0.626404452975985,0.03
247,CCL5,11,4.477746789640874,0.17777688803949526,0.0275
248,LAIR1,11,4.23808507552059,0.1896691732796011,0.0275
249,CXCR6,11,4.130598839236096,0.22774945447647443,0.0275
250,PFKFB3,11,2.9682995162250423,0.3047710348048194,0.0275
251,TNFRSF4,11,2.7865341067707603,0.3794771313358354,0.0275
252,DLL1,11,2.7000087742607697,0.38113219548577515,0.0275
253,CNTFR,11,2.5725920101698234,0.39698968593866923,0.0275
254,HSD11B1,11,2.4596867849168227,0.44590692433226886,0.0275
255,CXCL10,11,1.9093900549202334,0.5597666125937583,0.0275
256,SYK,11,1.8503204156069557,0.5383043886153293,0.0275
257,WNT4,11,1.3528483477283402,0.5865368938908405,0.0275
258,CD7,10,3.5117786697640994,0.2547915062870264,0.025
259,CD8B,10,3.2721378715218923,0.31490107369370807,0.025
260,ALDOA,10,3.157871639856039,0.25898375411209207,0.025
261,CD47,10,2.928857625853795,0.35009395013442407,0.025
262,GHR,10,2.4245395564431615,0.48709174169090386,0.025
263,ATF3,10,1.5372511845674532,0.5733091183753111,0.025
264,AREG,10,1.3822637476404935,0.5858260162661204,0.025
265,TMEM140,9,3.5861597872442434,0.2267138340823061,0.0225
266,VCAM1,9,3.2840884881446986,0.28870645512339255,0.0225
267,EOMES,9,3.1878909225192795,0.32141390473240344,0.0225
268,TLR8,9,3.147424070384018,0.33597697650090586,0.0225
269,LAMC2,9,2.9800061996423297,0.3233253028257331,0.0225
270,TAP1,9,2.0122472227507107,0.5329296698633492,0.0225
271,IFITM1,9,1.8816231545492212,0.4640230674662005,0.0225
272,STC1,9,1.815094817248305,0.5300720621261115,0.0225
273,CD2,8,3.7603653835127955,0.25215510308219835,0.02
274,GZMH,8,3.6386328693949044,0.2663398839947963,0.02
275,CD209,8,3.631716009972406,0.2671322777619658,0.02
276,APOL6,8,3.1608294213762558,0.3194751334181566,0.02
277,TREM2,8,2.8038431616143384,0.3529859041206741,0.02
278,CDK2,8,2.6902007092829687,0.3498625144009588,0.02
279,SHC2,8,2.6887601644822388,0.3850006934625511,0.02
280,VTCN1,8,2.577529840646134,0.39752278889550696,0.02
281,GPC4,8,2.116194668007529,0.42650800440796854,0.02
282,IFI35,8,2.079198723662125,0.4922402464465817,0.02
283,FGFR1,8,1.8814626297835282,0.503696774564368,0.02
284,ITGB3,8,1.6601917899235525,0.5241264745689203,0.02
285,XCL1/2,8,1.121513200320832,0.6543801893040964,0.02
286,TNFRSF1B,7,4.602044106379619,0.14264681819485242,0.0175
