To	From	Weight
HLA-DRB1	GBP4	0.115464425041025
HLA-DRB5	GBP4	0.111919738946094
HLA-DRB6	GBP4	0.0987226210942136
HLA-L	GBP4	0.0423875386189014
HNMT	GBP4	0
HSH2D	GBP4	0.0447305981615277
ICAM1	GBP4	0.00526449394346158
ICOS	GBP4	0.121359082599274
IDO1	GBP4	0.0647452564461635
IFI16	GBP4	0.0433995051973508
IFI27	GBP4	0.0231165623491923
IFI30	GBP4	0.0493409623586322
IFI35	GBP4	0.0504432832003453
IFI44	GBP4	0.0409329556855216
IFI44L	GBP4	0.0669055831409798
IFIH1	GBP4	0.0501858819698057
IFIT2	GBP4	0.0429328556331638
IFIT3	GBP4	0.042811388151081
IFNG	GBP4	0.0813868596726086
IFNGR1	GBP4	0.0575514480970993
IGHA1	GBP4	0.116531252665281
IGHA2	GBP4	0.0907921014309775
IGHG1	GBP4	0.116598121943156
IGHG2	GBP4	0.113101495040804
IGHG3	GBP4	0.114632866720532
IGHG4	GBP4	0.107895185937547
IGHGP	GBP4	0.106618000568357
IGHV1-12	GBP4	0.0769548470530378
IGHV1-14	GBP4	0.0695769135891555
IGHV1-18	GBP4	0.109378229305632
IGHV1-3	GBP4	0.0865816981130201
IGHV1-45	GBP4	0.0894423192139687
IGHV1-46	GBP4	0.0934926627326393
IGHV1-58	GBP4	0.0736058054168359
IGHV1-67	GBP4	0.0723053164813652
IGHV1-69	GBP4	0.0966237145799507
IGHV1OR15-1	GBP4	0.078247687716774
IGHV3-11	GBP4	0.104516909160378
IGHV3-15	GBP4	0.0982312052288587
IGHV3-21	GBP4	0.10252384719612
IGHV3-23	GBP4	0.110041975322158
IGHV3-32	GBP4	0.0771851569331989
IGHV3-33	GBP4	0.103858498620959
IGHV3-52	GBP4	0.0845304384227199
IGHV3-53	GBP4	0.0981740832485937
IGHV3-60	GBP4	0.086967222026757
IGHV3-66	GBP4	0.102996077738221
IGHV3-69-1	GBP4	0.0949337555946444
IGHV3-7	GBP4	0.104070362336143
IGHV3-72	GBP4	0.0869776659440769
IGHV3OR16-17	GBP4	0.0898005019118593
IGHV3OR16-8	GBP4	0.086620721555735
IGHV4-28	GBP4	0.0971912957568182
IGHV4-34	GBP4	0.100354625789371
IGHV4-39	GBP4	0.100410559076657
IGHV4-61	GBP4	0.0983694296534764
IGHV5-51	GBP4	0.0945307417149194
IGHV7-4-1	GBP4	0.0724664768174571
IGKC	GBP4	0.12900912492015
IGKJ1	GBP4	0.10523137277927
IGKJ2	GBP4	0.105068289115591
IGKJ3	GBP4	0.10454505480763
IGKJ4	GBP4	0.109012910761833
IGKJ5	GBP4	0.106022972772996
IGKV1-13	GBP4	0.0731925868354949
IGKV1-16	GBP4	0.0892290773632105
IGKV1-22	GBP4	0.0710409741883438
IGKV1-27	GBP4	0.0909873798675927
IGKV1-33	GBP4	0.102878701145983
IGKV1-35	GBP4	0.0778575441451653
IGKV1-37	GBP4	0.0845106272213776
IGKV1-39	GBP4	0.111931793142836
IGKV1-5	GBP4	0.0957408852505479
IGKV1-6	GBP4	0.0834996813720143
IGKV1-9	GBP4	0.111149476364582
IGKV1D-12	GBP4	0.0729381720556602
IGKV1D-13	GBP4	0.0671032118960803
IGKV1D-16	GBP4	0.0771079525083981
IGKV1D-17	GBP4	0.0693411766712719
IGKV1D-27	GBP4	0.0817200127866866
IGKV1D-33	GBP4	0.0868199662749443
IGKV1D-35	GBP4	0.07259720627128
IGKV1D-37	GBP4	0.0776941029449655
IGKV1D-39	GBP4	0.100975751232609
IGKV1D-8	GBP4	0.0812470596012674
IGKV2-14	GBP4	0.0698783384604472
IGKV2-18	GBP4	0.0752013405906374
IGKV2-28	GBP4	0.0884216889249101
IGKV2-30	GBP4	0.10079960553082
IGKV2D-24	GBP4	0.0786798483672756
IGKV2D-28	GBP4	0.0789781432738644
IGKV3-11	GBP4	0.125401478221661
IGKV3-15	GBP4	0.0987148212199301
IGKV3-20	GBP4	0.122407218025612
IGKV3-31	GBP4	0.0687429662703812
IGKV3-7	GBP4	0.0853614010184241
IGKV3D-11	GBP4	0.0976728148039011
IGKV3D-15	GBP4	0.088241810517055
IGKV3D-20	GBP4	0.0986942071602498
IGKV3D-25	GBP4	0.0694590855061723
IGKV3D-7	GBP4	0.078049808781547
IGKV4-1	GBP4	0.100983602182126
IGKV7-3	GBP4	0.0713475230928272
IGLC2	GBP4	0.110318731030873
IGLC3	GBP4	0.0839385274207839
IGLJ2	GBP4	0.107180864605194
IGLV1-40	GBP4	0.110832671242623
IGLV2-11	GBP4	0.107741849222631
IGLV2-14	GBP4	0.105516743771253
IGLV2-23	GBP4	0.097666742311008
