Gene	Category	Model_Gene
CD33	Immune Process	FALSE
CLEC7A	Immune Process|Lymph/Leuk Activation	FALSE
FCGR3A	Immune Process	FALSE
CRTAM	Immune Process	FALSE
ARHGDIB	None	FALSE
C3AR1	Immune Process	FALSE
LAIR1	Immune Process	FALSE
MPEG1	Immune Process	FALSE
AIF1	None	FALSE
TMUB2	None	TRUE
TMEM259	None	FALSE
ARSA	None	FALSE
ZNF668	None	FALSE
AP5Z1	DNA damage	FALSE
SCAMP4	None	FALSE
CHPF	None	FALSE
TP53I13	None	FALSE
CSNK1G2	None	FALSE
JOSD2	None	FALSE
PKD1	None	FALSE
LMF2	None	FALSE
ACADS	None	FALSE
SIRT6	DNA damage	FALSE
MIR6084	None	FALSE
STK11	None	FALSE
BCAR1	None	FALSE
EGFL7	None	FALSE
MADCAM1-AS1	None	FALSE
DGKQ	None	FALSE
SLC38A10	None	FALSE
TPGS1	None	FALSE
TECPR1	None	FALSE
BTBD2	None	FALSE
LLGL1	None	FALSE
FBXW5	None	FALSE
CORO7	None	FALSE
SMARCA5-AS1	None	FALSE
FLYWCH1	None	FALSE
ARHGAP45	None	FALSE
SBF1	None	FALSE
OAS3	Immune Process|TNF cytokine	TRUE
SNX20	None	FALSE
CCR2	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
SASH3	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
CCL5	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation|TNF cytokine	FALSE
SLA	None	FALSE
CD38	Immune Process	FALSE
GIMAP1	None	FALSE
IL21R	TNF cytokine	FALSE
SLAMF7	None	FALSE
SP140	None	FALSE
GPR174	TNF cytokine	FALSE
LILRB4	Immune Process|TNF cytokine	FALSE
TIGIT	Lymph/Leuk Activation|TNF cytokine	FALSE
RRM2	Mitosis	TRUE
USP1	None	FALSE
NUF2	Mitosis	FALSE
DEPDC1	None	FALSE
KIF11	Mitosis	FALSE
DBF4	Mitosis	FALSE
CCNA2	Mitosis	FALSE
RACGAP1	Mitosis	FALSE
CDK1	Mitosis	FALSE
CDKN3	Mitosis	FALSE
UBE2T	None	FALSE
PTTG1	None	FALSE
TTK	Mitosis	FALSE
SCARF1	None	FALSE
CCNB1	Mitosis	FALSE
CKAP2	Mitosis	FALSE
NCAPG	Mitosis	FALSE
NEK2	Mitosis	FALSE
TOP2A	None	FALSE
CENPQ	None	FALSE
IFFO1	None	FALSE
NUSAP1	Mitosis	FALSE
MRPL39	None	FALSE
SSX2IP	None	FALSE
CEP55	Mitosis	FALSE
EXO1	None	FALSE
CSE1L	None	FALSE
KIF15	Mitosis	FALSE
STARD8	None	FALSE
DLGAP5	Mitosis	FALSE
VRK1	Mitosis	FALSE
GBP4	Immune Process	TRUE
KYNU	None	FALSE
PDCD1LG2	Lymph/Leuk Activation	FALSE
TLR1	Immune Process	FALSE
CD86	Immune Process|Lymph/Leuk Activation|Lymph/Leuk/Mono/Mye proliferation	FALSE
AMOTL2	None	TRUE
LIME1	None	FALSE
CTBP1-AS	None	FALSE
RABEP2	None	FALSE
MZT2B	None	FALSE
SPNS1	None	FALSE
MAP2K2	None	FALSE
DGKZ	None	FALSE
MBD3	None	FALSE
TELO2	DNA damage	FALSE
E4F1	None	FALSE
GNB2	None	FALSE
NELFB	None	FALSE
ATP13A2	None	FALSE
DVL1	None	FALSE
PEX16	None	FALSE
BRAT1	DNA damage	FALSE
HCN3	None	TRUE
PIDD1	DNA damage	FALSE
INTS1	None	FALSE
SLX9	None	FALSE
ZNF598	None	FALSE
FAAP20	None	FALSE
ZBTB48	None	FALSE
INTS11	None	FALSE
CHTF18	None	FALSE
DDX11	DNA damage	TRUE
IRF2BP1	None	FALSE
ALDH16A1	None	FALSE
KMT5C	DNA damage	FALSE
UPF1	DNA damage	FALSE
TBL3	None	FALSE
ARMC5	None	FALSE
NSUN5	None	FALSE
XRCC3	DNA damage	FALSE
NUP153-AS1	None	FALSE
BBLN	None	FALSE
C1orf159	None	FALSE
CAPN15	None	FALSE
RHOT2	None	FALSE
ZNF446	None	FALSE
GPR173	None	TRUE
OBSL1	None	FALSE
UBA3	None	FALSE
COL18A1	None	FALSE
CSNK1G3	None	FALSE
MAT2B	None	FALSE
BLZF1	None	FALSE
ACTR6	None	FALSE
VTA1	None	FALSE
PAIP2	None	FALSE
PGLS-DT	None	FALSE
PKD1P1	None	FALSE
ARFIP1	None	FALSE
CDKL2	None	TRUE
TMEM160	None	FALSE
REX1BD	None	FALSE
DBNL	None	FALSE
ZNF837	None	FALSE
RNA45SN2	None	FALSE
ACTR1B	None	FALSE
POLG	None	FALSE
POLGARF	None	FALSE
MIGA2	None	FALSE
RNA45SN1	None	FALSE
IDH2-DT	None	FALSE
STRN4	None	FALSE
HIF1A-AS1	None	FALSE
ARHGAP12	None	FALSE
CD274	Immune Process|Lymph/Leuk Activation	TRUE
RNASE6	None	FALSE
CD84	Immune Process|Lymph/Leuk Activation	FALSE
SH2D1A	Immune Process	FALSE
GPR65	None	FALSE
IL2RA	Lymph/Leuk Activation	FALSE
