Gene	Post	Pre	Post_Pre	Label	Funct_Annot
H2BC17	0.0603970736010397	0.102008743754786	-0.0416116701537465	None	None
H3C13	0.028028084333705	0.103579729644034	-0.0755516453103288	None	None
H3C15	0	0.108085622923483	0	None	None
H4C11	0.0417438248958534	0.102782066917203	-0.0610382420213497	None	None
HACD4	0	0.108795387977572	0	None	Innate IFN Response
HAVCR2	0.10860164983172	0.148671165673681	-0.04006951584196	None	None
HCLS1	0.0871160444347882	0.103739338761822	-0.0166232943270336	None	None
HCST	0.112091606918901	0.0755191286750306	0.0365724782438707	Post_Only	T/NK Activation
HERC6	0	0.109693846008392	0	None	Innate IFN Response
HFE	0.0493153160818892	0.109510196851527	-0.0601948807696376	None	None
HGF	0.0717376622535822	0.110858490427601	-0.0391208281740192	None	None
HLA-B	0	0.123952566385434	0	Pre_Only	Antigen Processing
HLA-C	0.0479158490803976	0.106240375876894	-0.0583245267964968	None	Antigen Processing
HLA-DMA	0.100731211923014	0.115038735713512	-0.0143075237904983	None	Antigen Processing
HLA-DMB	0.0750717302037685	0.115556542964049	-0.0404848127602803	None	Antigen Processing
HLA-DOA	0.105333699186061	0	0	None	Antigen Processing
HLA-DOB	0.0596469517991994	0.112491347773154	-0.0528443959739543	None	Antigen Processing
HLA-DPA1	0.119398695372312	0.126981245276852	-0.00758254990453984	Shared	Antigen Processing
HLA-DPB1	0.117716652942424	0.140653390294414	-0.0229367373519893	None	Antigen Processing
HLA-DQA1	0.110005535945652	0.137368114825481	-0.0273625788798286	None	Antigen Processing
HLA-DQA1-AS1	0.0956190251977375	0.114574310285766	-0.0189552850880288	None	Antigen Processing
HLA-DRA	0.118253256231955	0.161186396450034	-0.0429331402180796	None	Antigen Processing
HLA-DRB1	0.115464425041025	0.138405969472474	-0.0229415444314486	None	Antigen Processing
HLA-DRB5	0.111919738946094	0.119290587904163	-0.00737084895806879	Shared	Antigen Processing
HLA-DRB6	0.0987226210942136	0.134826249123207	-0.0361036280289929	None	Antigen Processing
HLA-L	0.0423875386189014	0.104313457631965	-0.0619259190130635	None	Antigen Processing
HNMT	0	0.150001401441261	0	Pre_Only	Immune Checkpoint
HSH2D	0.0447305981615277	0.102357770449952	-0.057627172288424	None	None
ICAM1	0.00526449394346158	0.114958008010331	-0.10969351406687	Pre_Only	Immune Cell Infiltration
ICOS	0.121359082599274	0.153033369051002	-0.0316742864517284	None	None
IDO1	0.0647452564461635	0.120129982698064	-0.0553847262519002	None	None
IFI16	0.0433995051973508	0.118436316649995	-0.0750368114526445	None	None
IFI27	0.0231165623491923	0.101438509229972	-0.0783219468807798	None	None
IFI30	0.0493409623586322	0.121723728428504	-0.0723827660698722	None	None
IFI35	0.0504432832003453	0.123283100900844	-0.072839817700499	None	None
IFI44	0.0409329556855216	0.100063740673774	-0.059130784988252	None	None
IFI44L	0.0669055831409798	0.124787955487494	-0.0578823723465142	None	None
IFIH1	0.0501858819698057	0.109867774289571	-0.0596818923197655	None	None
IFIT2	0.0429328556331638	0.118082545842769	-0.0751496902096055	None	None
IFIT3	0.042811388151081	0.113735669977399	-0.0709242818263184	None	None
IFNG	0.0813868596726086	0.139912098800984	-0.058525239128375	None	None
IFNGR1	0.0575514480970993	0.100729371851175	-0.043177923754076	None	None
IGHA1	0.116531252665281	0.104780133630757	0.0117511190345243	None	None
IGHA2	0.0907921014309775	0.1009576820577	-0.0101655806267226	None	None
IGHG1	0.116598121943156	0.0998599035328805	0.0167382184102755	None	None
IGHG2	0.113101495040804	0.103303903066688	0.00979759197411666	None	None
IGHG3	0.114632866720532	0.0925234488927635	0.0221094178277689	None	None
IGHG4	0.107895185937547	0.0878520269857593	0.020043158951788	None	None
IGHGP	0.106618000568357	0.0908870060089809	0.0157309945593756	None	None
IGHV1-12	0.0769548470530378	0.100913431271374	-0.0239585842183364	None	None
IGHV1-14	0.0695769135891555	0.11509197089704	-0.045515057307884	None	None
IGHV1-18	0.109378229305632	0.0962841923691621	0.0130940369364703	None	None
IGHV1-3	0.0865816981130201	0.104070432133265	-0.0174887340202445	None	None
IGHV1-45	0.0894423192139687	0.108800106997347	-0.0193577877833788	None	None
IGHV1-46	0.0934926627326393	0.105666641912884	-0.012173979180245	None	None
IGHV1-58	0.0736058054168359	0.103435771766092	-0.0298299663492558	None	None
IGHV1-67	0.0723053164813652	0.107043770008015	-0.0347384535266501	None	None
IGHV1-69	0.0966237145799507	0.106367910586737	-0.00974419600678579	None	None
IGHV1OR15-1	0.078247687716774	0.109730856363148	-0.0314831686463738	None	None
IGHV3-11	0.104516909160378	0.0780695956377252	0.026447313522653	None	None
IGHV3-15	0.0982312052288587	0.118489570001901	-0.0202583647730419	None	None
IGHV3-21	0.10252384719612	0.103501034634774	-0.000977187438653548	None	None
IGHV3-23	0.110041975322158	0.112946342941166	-0.00290436761900811	Shared	Antigen Processing
IGHV3-32	0.0771851569331989	0.113253851733396	-0.0360686948001974	None	None
IGHV3-33	0.103858498620959	0.105704249087254	-0.00184575046629452	None	None
IGHV3-52	0.0845304384227199	0.101543311374745	-0.0170128729520249	None	None
IGHV3-53	0.0981740832485937	0.106085751356138	-0.00791166810754473	None	None
IGHV3-60	0.086967222026757	0.1007105402417	-0.0137433182149431	None	None
IGHV3-66	0.102996077738221	0.119252690714581	-0.0162566129763595	None	None
IGHV3-69-1	0.0949337555946444	0.106518440485681	-0.0115846848910367	None	None
IGHV3-7	0.104070362336143	0.105026953262998	-0.000956590926854947	None	None
IGHV3-72	0.0869776659440769	0.110526661691773	-0.0235489957476964	None	None
IGHV3OR16-17	0.0898005019118593	0.116135750219708	-0.0263352483078488	None	None
IGHV3OR16-8	0.086620721555735	0.119660032381632	-0.0330393108258966	None	None
IGHV4-28	0.0971912957568182	0.103654607740372	-0.0064633119835542	None	None
IGHV4-34	0.100354625789371	0.107259117661773	-0.00690449187240219	None	None
IGHV4-39	0.100410559076657	0.0945088037293703	0.0059017553472871	None	None
IGHV4-61	0.0983694296534764	0.111622123003259	-0.0132526933497829	None	None
IGHV5-51	0.0945307417149194	0.101211523097217	-0.00668078138229748	None	None
IGHV7-4-1	0.0724664768174571	0.105466651674131	-0.0330001748566743	None	None
IGKC	0.12900912492015	0.119932531676806	0.00907659324334391	Shared	None
IGKJ1	0.10523137277927	0.101339265536748	0.00389210724252166	None	None
IGKJ2	0.105068289115591	0.0831702202795982	0.0218980688359929	None	None
IGKJ3	0.10454505480763	0.0975894231600092	0.00695563164762097	None	None
IGKJ4	0.109012910761833	0.0963864343963088	0.0126264763655246	None	None
IGKJ5	0.106022972772996	0.118352130994432	-0.0123291582214362	None	None
IGKV1-13	0.0731925868354949	0.107081740809194	-0.0338891539736987	None	None
IGKV1-16	0.0892290773632105	0.104142092744525	-0.0149130153813144	None	None
IGKV1-22	0.0710409741883438	0.104608585285825	-0.0335676110974812	None	None
IGKV1-27	0.0909873798675927	0.12225002991109	-0.031262650043497	None	None
IGKV1-33	0.102878701145983	0.117677277719694	-0.0147985765737107	None	None
IGKV1-35	0.0778575441451653	0.111249566638603	-0.0333920224934377	None	None
IGKV1-37	0.0845106272213776	0.10266934632613	-0.0181587191047528	None	None
IGKV1-39	0.111931793142836	0.118717617952319	-0.00678582480948289	Shared	Antigen Processing
IGKV1-5	0.0957408852505479	0.111224375253056	-0.0154834900025081	None	None
IGKV1-6	0.0834996813720143	0.10538638416801	-0.0218867027959957	None	None
IGKV1-9	0.111149476364582	0.102145576354302	0.00900390001027945	None	None
IGKV1D-12	0.0729381720556602	0.113941703709651	-0.0410035316539907	None	None
IGKV1D-13	0.0671032118960803	0.102006167542259	-0.0349029556461791	None	None
