To	From	Weight
IFNG	GBP4	0.139912098800984
IFNGR1	GBP4	0.100729371851175
IGHA1	GBP4	0.104780133630757
IGHA2	GBP4	0.1009576820577
IGHG1	GBP4	0.0998599035328805
IGHG2	GBP4	0.103303903066688
IGHG3	GBP4	0.0925234488927635
IGHG4	GBP4	0.0878520269857593
IGHGP	GBP4	0.0908870060089809
IGHV1-12	GBP4	0.100913431271374
IGHV1-14	GBP4	0.11509197089704
IGHV1-18	GBP4	0.0962841923691621
IGHV1-3	GBP4	0.104070432133265
IGHV1-45	GBP4	0.108800106997347
IGHV1-46	GBP4	0.105666641912884
IGHV1-58	GBP4	0.103435771766092
IGHV1-67	GBP4	0.107043770008015
IGHV1-69	GBP4	0.106367910586737
IGHV1OR15-1	GBP4	0.109730856363148
IGHV3-11	GBP4	0.0780695956377252
IGHV3-15	GBP4	0.118489570001901
IGHV3-21	GBP4	0.103501034634774
IGHV3-23	GBP4	0.112946342941166
IGHV3-32	GBP4	0.113253851733396
IGHV3-33	GBP4	0.105704249087254
IGHV3-52	GBP4	0.101543311374745
IGHV3-53	GBP4	0.106085751356138
IGHV3-60	GBP4	0.1007105402417
IGHV3-66	GBP4	0.119252690714581
IGHV3-69-1	GBP4	0.106518440485681
IGHV3-7	GBP4	0.105026953262998
IGHV3-72	GBP4	0.110526661691773
IGHV3OR16-17	GBP4	0.116135750219708
IGHV3OR16-8	GBP4	0.119660032381632
IGHV4-28	GBP4	0.103654607740372
IGHV4-34	GBP4	0.107259117661773
IGHV4-39	GBP4	0.0945088037293703
IGHV4-61	GBP4	0.111622123003259
IGHV5-51	GBP4	0.101211523097217
IGHV7-4-1	GBP4	0.105466651674131
IGKC	GBP4	0.119932531676806
IGKJ1	GBP4	0.101339265536748
IGKJ2	GBP4	0.0831702202795982
IGKJ3	GBP4	0.0975894231600092
IGKJ4	GBP4	0.0963864343963088
IGKJ5	GBP4	0.118352130994432
IGKV1-13	GBP4	0.107081740809194
IGKV1-16	GBP4	0.104142092744525
IGKV1-22	GBP4	0.104608585285825
IGKV1-27	GBP4	0.12225002991109
IGKV1-33	GBP4	0.117677277719694
IGKV1-35	GBP4	0.111249566638603
IGKV1-37	GBP4	0.10266934632613
IGKV1-39	GBP4	0.118717617952319
IGKV1-5	GBP4	0.111224375253056
IGKV1-6	GBP4	0.10538638416801
IGKV1-9	GBP4	0.102145576354302
IGKV1D-12	GBP4	0.113941703709651
IGKV1D-13	GBP4	0.102006167542259
IGKV1D-16	GBP4	0.114691083769737
IGKV1D-17	GBP4	0.115580347747511
IGKV1D-27	GBP4	0.127646913695863
IGKV1D-33	GBP4	0.126842008586271
IGKV1D-35	GBP4	0.106500567848654
IGKV1D-37	GBP4	0.113578171580331
IGKV1D-39	GBP4	0.115989891574997
IGKV1D-8	GBP4	0.108813103926714
IGKV2-14	GBP4	0.102188853155407
IGKV2-18	GBP4	0.111698513168295
IGKV2-28	GBP4	0.115971719567909
IGKV2-30	GBP4	0.0818475057643444
IGKV2D-24	GBP4	0.103719646533831
IGKV2D-28	GBP4	0.108339174037274
IGKV3-11	GBP4	0.1133763933701
IGKV3-15	GBP4	0.109168361970064
IGKV3-20	GBP4	0.109758052984834
IGKV3-31	GBP4	0.104630716763268
IGKV3-7	GBP4	0.100083370498222
IGKV3D-11	GBP4	0.124301383477332
IGKV3D-15	GBP4	0.123402400414287
IGKV3D-20	GBP4	0.119436887091081
IGKV3D-25	GBP4	0.10601508901201
IGKV3D-7	GBP4	0.108073838700072
IGKV4-1	GBP4	0.106974977780685
