From	To	Weight
ID4	RIPK2-DT	0.413009902279111
ALDOC	RN7SK	0.350862166099996
CLK2	RN7SK	0.407248082767399
EGR1	RN7SK	0.416884731669079
ENO1	RN7SK	0.417340950418495
ESYT3	RN7SK	0.382710343122455
ID4	RN7SK	0.413365135788989
ALDOC	RN7SL1	0.334416613406685
CLK2	RN7SL1	0.399929617559496
EGR1	RN7SL1	0.403464955433065
ENO1	RN7SL1	0.402318797582462
ESYT3	RN7SL1	0.382698764242488
ID4	RN7SL1	0.404714658629294
ALDOC	SCAND2P	0.33232774399052
CLK2	SCAND2P	0.416826906832863
EGR1	SCAND2P	0.408542567093208
ENO1	SCAND2P	0.398186714414671
ESYT3	SCAND2P	0.383609015255894
ID4	SCAND2P	0.425273838414596
ALDOC	SCARNA10	0.354054190541024
CLK2	SCARNA10	0.413451304632632
EGR1	SCARNA10	0.414384179024762
ENO1	SCARNA10	0.411343323330658
ESYT3	SCARNA10	0.373190367548156
ID4	SCARNA10	0.417173094113841
ALDOC	SCARNA13	0.342402755931019
CLK2	SCARNA13	0.404821526392978
EGR1	SCARNA13	0.406269023162608
ENO1	SCARNA13	0.40464265588561
ESYT3	SCARNA13	0.381332199090954
ID4	SCARNA13	0.409209689913283
ALDOC	SCARNA7	0.347715494077411
CLK2	SCARNA7	0.41743783684024
EGR1	SCARNA7	0.412481874659163
ENO1	SCARNA7	0.406157777374729
ESYT3	SCARNA7	0.375781367027866
ID4	SCARNA7	0.419219825733771
ALDOC	SFT2D3	0.342612441148502
CLK2	SFT2D3	0.4172615454439
EGR1	SFT2D3	0.415551228610729
ENO1	SFT2D3	0.405816048349365
ESYT3	SFT2D3	0.372436599068343
ID4	SFT2D3	0.423519387377357
ARPP19	SHROOM1	0.3915618214542
BAZ2B-AS1	SHROOM1	0.338295790897715
CERS6-AS1	SHROOM1	0.366946677499317
CHASERR	SHROOM1	0.38019125740218
CIZ1	SHROOM1	0.36989447590079
CLK2	SHROOM1	0.255699282393711
DKFZP586I1420	SHROOM1	0.350515996919182
DLEU1	SHROOM1	0.373139301192926
DLEU2	SHROOM1	0.332173322721556
EBLN3P	SHROOM1	0.382156096976672
EIF3J-DT	SHROOM1	0.335661333434165
ELOA-AS1	SHROOM1	0.374576264334748
ERVK3-1	SHROOM1	0.326193917504236
FCF1P2	SHROOM1	0.386106424507265
FGD5-AS1	SHROOM1	0.374183069456959
GABPB1-AS1	SHROOM1	0.324367202309336
GABPB1-IT1	SHROOM1	0.353978516578232
GARS1-DT	SHROOM1	0.357729211127595
GMFB	SHROOM1	0.373704431068965
GTF2IRD1P1	SHROOM1	0.37657055542799
HCG11	SHROOM1	0.348022763822162
HCG18	SHROOM1	0.355976871008423
HERPUD2-AS1	SHROOM1	0.36165478499757
IPO5P1	SHROOM1	0.324383774855981
KMT2E-AS1	SHROOM1	0.331858518013318
LCDR	SHROOM1	0.36452878021348
LIMD1-AS1	SHROOM1	0.363090591251768
LYRM2	SHROOM1	0.382311126946841
MIR10393	SHROOM1	0.37502925732375
MIR12127	SHROOM1	0.360849375147191
MIR3916	SHROOM1	0.369785641008948
MIR4453HG	SHROOM1	0.357764424975282
MLF1-DT	SHROOM1	0.367801869877964
MTPN	SHROOM1	0.369224354224242
N4BP2L2-IT2	SHROOM1	0.359858841259007
NIPBL-DT	SHROOM1	0.342194019903134
NNT-AS1	SHROOM1	0.337918116918208
NORAD	SHROOM1	0.348765080641056
NRAV	SHROOM1	0.353473184212491
OIP5-AS1	SHROOM1	0.375674268093983
OSER1-DT	SHROOM1	0.347963350483865
OTUD6B-AS1	SHROOM1	0.386374670702576
PDCD6IP-DT	SHROOM1	0.379790923617927
PNISR-AS1	SHROOM1	0.351112260541546
POLR1HASP	SHROOM1	0.348090977423437
PSMA3-AS1	SHROOM1	0.379826816537235
RAB33B-AS1	SHROOM1	0.340870342202216
RCC2-AS1	SHROOM1	0.331644675333279
RIPK2-DT	SHROOM1	0.355827639698445
RN7SK	SHROOM1	0.321502206979955
RN7SL1	SHROOM1	0.298128740484156
SCAND2P	SHROOM1	0.321623181194382
SCARNA10	SHROOM1	0.359380096717296
SCARNA13	SHROOM1	0.318230318668522
SCARNA7	SHROOM1	0.34967568560265
SFT2D3	SHROOM1	0.348019492257646
ALDOC	SLC12A2-DT	0.316905893513728
CLK2	SLC12A2-DT	0.423529434764386
EGR1	SLC12A2-DT	0.385163735357878
ENO1	SLC12A2-DT	0.363002196633517
ESYT3	SLC12A2-DT	0.345991131305607
ID4	SLC12A2-DT	0.417358094221536
SHROOM1	SLC12A2-DT	0.376018587815195
ALDOC	SLC30A4-AS1	0.311006436230073
CLK2	SLC30A4-AS1	0.40996348292368
EGR1	SLC30A4-AS1	0.367395908920295
ENO1	SLC30A4-AS1	0.348726222116357
ESYT3	SLC30A4-AS1	0.339357761719128
ID4	SLC30A4-AS1	0.396380856805425
SHROOM1	SLC30A4-AS1	0.372995766501803
ALDOC	SNHG1	0.354096374283512
CLK2	SNHG1	0.4104909337451
EGR1	SNHG1	0.418927019006287
ENO1	SNHG1	0.416414039335418
ESYT3	SNHG1	0.369790387012922
ID4	SNHG1	0.418746777779383
SHROOM1	SNHG1	0.355088848544665
ALDOC	SNHG10	0.344612374023936
CLK2	SNHG10	0.406633214483492
EGR1	SNHG10	0.40883796456983
ENO1	SNHG10	0.407344371917746
ESYT3	SNHG10	0.38299217506291
ID4	SNHG10	0.411398369756499
SHROOM1	SNHG10	0.319808943239538
ALDOC	SNHG12	0.343538321713156
CLK2	SNHG12	0.386551613373207
EGR1	SNHG12	0.400576533571759
ENO1	SNHG12	0.405179841532714
ESYT3	SNHG12	0.367100609489363
ID4	SNHG12	0.391741967255767
SHROOM1	SNHG12	0.312566725393199
ALDOC	SNHG16	0.334159689623653
CLK2	SNHG16	0.411633548362038
EGR1	SNHG16	0.404200805378562
ENO1	SNHG16	0.397755205074304
ESYT3	SNHG16	0.377330329894535
ID4	SNHG16	0.413977059654589
SHROOM1	SNHG16	0.327653843833496
ALDOC	SNHG29	0.354241153540727
CLK2	SNHG29	0.42568912022737
EGR1	SNHG29	0.417667395924559
ENO1	SNHG29	0.410491956472689
ESYT3	SNHG29	0.377527706549321
ID4	SNHG29	0.424324873358312
SHROOM1	SNHG29	0.363913419561687
ALDOC	SNHG3	0.34486706268473
CLK2	SNHG3	0.406770268472649
EGR1	SNHG3	0.413773274481392
ENO1	SNHG3	0.41223351492132
ESYT3	SNHG3	0.371796712640566
ID4	SNHG3	0.415557191241945
SHROOM1	SNHG3	0.341521649261286
ALDOC	SNHG8	0.342316349056138
CLK2	SNHG8	0.415015272664261
EGR1	SNHG8	0.405123934771067
ENO1	SNHG8	0.399314161755444
ESYT3	SNHG8	0.364083887033532
ID4	SNHG8	0.414549426846642
SHROOM1	SNHG8	0.362807290883603
ALDOC	SP2-AS1	0.308769384994053
CLK2	SP2-AS1	0.414346733208844
EGR1	SP2-AS1	0.382281614051148
ENO1	SP2-AS1	0.361571927548335
ESYT3	SP2-AS1	0.338497159399047
ID4	SP2-AS1	0.412962948272255
SHROOM1	SP2-AS1	0.376035271237938
ALDOC	STARD4-AS1	0.329121460481915
CLK2	STARD4-AS1	0.424549482588635
EGR1	STARD4-AS1	0.398149594288449
ENO1	STARD4-AS1	0.380785617292163
ESYT3	STARD4-AS1	0.366901398767442
ID4	STARD4-AS1	0.419251537320072
SHROOM1	STARD4-AS1	0.34979289611052
ALDOC	SYNDIG1L	0.307585253748995
CLK2	SYNDIG1L	0.391919797263768
EGR1	SYNDIG1L	0.35922285293586
ENO1	SYNDIG1L	0.347479157190256
ESYT3	SYNDIG1L	0.325199186411156
ID4	SYNDIG1L	0.382992799349216
SHROOM1	SYNDIG1L	0.376136850574284
ALDOC	SYNJ2BP	0.321250846364879
CLK2	SYNJ2BP	0.403575743789326
EGR1	SYNJ2BP	0.374464013180513
ENO1	SYNJ2BP	0.360797160997417
ESYT3	SYNJ2BP	0.333388333545498
ID4	SYNJ2BP	0.395508711041777
SHROOM1	SYNJ2BP	0.39419656400059
ALDOC	THAP9-AS1	0.332866949108845
CLK2	THAP9-AS1	0.421304593034108
EGR1	THAP9-AS1	0.399142610988111
ENO1	THAP9-AS1	0.383994409670512
ESYT3	THAP9-AS1	0.358452655615333
ID4	THAP9-AS1	0.416217444020454
SHROOM1	THAP9-AS1	0.369773408147511
ALDOC	THUMPD3-AS1	0.355330680731822
CLK2	THUMPD3-AS1	0.428206536284497
EGR1	THUMPD3-AS1	0.421197450848144
ENO1	THUMPD3-AS1	0.413415786171973
ESYT3	THUMPD3-AS1	0.377052307847618
ID4	THUMPD3-AS1	0.431413593608254
SHROOM1	THUMPD3-AS1	0.377102826896214
ALDOC	TMEM167A	0.320691101542486
CLK2	TMEM167A	0.38865916008035
EGR1	TMEM167A	0.360260243750229
ENO1	TMEM167A	0.350976180614267
ESYT3	TMEM167A	0.327253352366963
ID4	TMEM167A	0.372429925910386
SHROOM1	TMEM167A	0.381408544011094
ALDOC	TP73-AS1	0.340703705727574
CLK2	TP73-AS1	0.397165326989572
EGR1	TP73-AS1	0.414076345126705
ENO1	TP73-AS1	0.413256046558344
ESYT3	TP73-AS1	0.38208290379298
ID4	TP73-AS1	0.41131105787276
SHROOM1	TP73-AS1	0.295075137164948
ALDOC	TUG1	0.34438005420584
CLK2	TUG1	0.443580127131096
EGR1	TUG1	0.424720917695477
ENO1	TUG1	0.408896087661055
ESYT3	TUG1	0.386361607957542
ID4	TUG1	0.443681350306331
SHROOM1	TUG1	0.36623187349338
ALDOC	UBA6-DT	0.332940047928043
CLK2	UBA6-DT	0.425207923755769
EGR1	UBA6-DT	0.406287288126844
ENO1	UBA6-DT	0.392982790305476
ESYT3	UBA6-DT	0.371200870540783
ID4	UBA6-DT	0.419420765599191
SHROOM1	UBA6-DT	0.345760662895184
ALDOC	UFM1	0.299669520530179
CLK2	UFM1	0.373198429816679
EGR1	UFM1	0.33945697637519
ENO1	UFM1	0.327795134856038
ESYT3	UFM1	0.303844795865557
ID4	UFM1	0.355245981914032
SHROOM1	UFM1	0.375565580986565
ALDOC	WAC-AS1	0.340698755574745
CLK2	WAC-AS1	0.438391363525782
EGR1	WAC-AS1	0.416628934316392
ENO1	WAC-AS1	0.400671631289159
ESYT3	WAC-AS1	0.375685141012692
ID4	WAC-AS1	0.437277229652905
SHROOM1	WAC-AS1	0.384284554499462
ALDOC	ZFAND2A-DT	0.336947977046398
CLK2	ZFAND2A-DT	0.399776902344755
EGR1	ZFAND2A-DT	0.41111882771437
ENO1	ZFAND2A-DT	0.40611238804486
ESYT3	ZFAND2A-DT	0.372915679155299
ID4	ZFAND2A-DT	0.412317165852582
SHROOM1	ZFAND2A-DT	0.312026145085288
ALDOC	ZFAS1	0.347500491769536
CLK2	ZFAS1	0.416124455198789
EGR1	ZFAS1	0.409547962764184
ENO1	ZFAS1	0.405239536440278
ESYT3	ZFAS1	0.372198366896677
ID4	ZFAS1	0.416313541007082
SHROOM1	ZFAS1	0.353782476128082
ALDOC	ZNF252P	0.323670048306977
CLK2	ZNF252P	0.414064612200908
EGR1	ZNF252P	0.390137078757961
ENO1	ZNF252P	0.37836655160792
ESYT3	ZNF252P	0.351910898032179
ID4	ZNF252P	0.407476372446726
SHROOM1	ZNF252P	0.371475541473833
ALDOC	ZNF271P	0.350949572325556
CLK2	ZNF271P	0.431581200375706
EGR1	ZNF271P	0.417036199821
ENO1	ZNF271P	0.406254705955656
ESYT3	ZNF271P	0.3799824853793
ID4	ZNF271P	0.430749582532359
SHROOM1	ZNF271P	0.376548115162931
ALDOC	ZNF407-AS1	0.344198117696832
CLK2	ZNF407-AS1	0.420459284259012
EGR1	ZNF407-AS1	0.413044669937224
ENO1	ZNF407-AS1	0.40426241388167
ESYT3	ZNF407-AS1	0.379124758355309
ID4	ZNF407-AS1	0.423463201132741
SHROOM1	ZNF407-AS1	0.344973469195034
